message_text,label,language,fraud_category,source,date_collected
"Habari, kanisa letu linaomba msaada wa Ksh500 kwa ajili ya waathirika wa mafuriko Tana River. Tuma kwa namba 0712334455 leo.",fraud,sw,fake_charity_donation,batch25_ai,2026-06-23
"Our church is collecting Ksh700 donations for flood victims in Garissa. Please send your contribution to 0745998822 today.",fraud,en,fake_charity_donation,batch25_ai,2026-06-23
"buda kuna msaada wa watu walioteseka kwa mafuriko Budalangi, tuma Ksh300 kwa namba 0701887744 ndio wapate help",fraud,sheng,fake_charity_donation,batch25_ai,2026-06-23
"Habari, shirika la msaada wa kibinadamu linahitaji Ksh450 kwa ajili ya familia zilizopoteza nyumba kwa moto. Tuma kwa 0789556699.",fraud,sw,fake_charity_donation,batch25_ai,2026-06-23
"Disaster relief appeal: We need Ksh600 donations for fire victims in Mathare. Send your contribution to 0712445599 right now.",fraud,en,fake_charity_donation,batch25_ai,2026-06-23
"mse kanisa linaomba msaada wa watoto yatima Ksh400, tuma kwa namba 0734667722 leo ndio wapate chakula na nguo",fraud,sheng,fake_charity_donation,batch25_ai,2026-06-23
"Habari, NGO ya msaada wa wagonjwa wa kansa inaomba Ksh550 kwa ajili ya matibabu ya watoto. Tuma kwa namba 0701223399.",fraud,sw,fake_charity_donation,batch25_ai,2026-06-23
"Cancer foundation appeal: Help us raise Ksh650 for children's treatment costs this week. Send your donation to 0745889922 today.",fraud,en,fake_charity_donation,batch25_ai,2026-06-23
"buda kuna msaada wa wazee wasiojiweza kijijini, tuma Ksh350 kwa namba 0712998877 leo wapate chakula na blanketi",fraud,sheng,fake_charity_donation,batch25_ai,2026-06-23
"Habari, shirika la kimataifa linahitaji msaada wa Ksh500 kwa ajili ya wakimbizi waliokimbia vita. Tuma kwa namba 0789221144.",fraud,sw,fake_charity_donation,batch25_ai,2026-06-23
"Refugee support appeal: Donate Ksh500 to help families displaced by conflict find shelter. Send your contribution to 0701556633.",fraud,en,fake_charity_donation,batch25_ai,2026-06-23
"niaje msee, kuna msaada wa watu walioathiriwa na ukame Turkana, tuma Ksh400 kwa namba 0745112277 leo wapate maji",fraud,sheng,fake_charity_donation,batch25_ai,2026-06-23
