message_text,label,language,fraud_category,source,date_collected
"Habari, mzigo wako kutoka Jumia umefika kituo cha usambazaji. Tuma Ksh650 ada ya delivery kwa namba 0712334455 kupokea leo.",fraud,sw,fake_delivery_payment,batch9_ai,2026-06-23
"Your Jumia package is held at the warehouse pending a Ksh800 delivery fee. Send to 0745998822 to release it for delivery today.",fraud,en,fake_delivery_payment,batch9_ai,2026-06-23
"buda parcel yako iko stuck kwa courier, tuma Ksh500 delivery fee kwa 0701887744 ndio waikupelekee leo",fraud,sheng,fake_delivery_payment,batch9_ai,2026-06-23
"Habari mteja, kifurushi chako kutoka Kilimall kiko tayari lakini kinahitaji Ksh700 ya usafirishaji. Tuma kwa 0789556699 leo.",fraud,sw,fake_delivery_payment,batch9_ai,2026-06-23
"DHL courier notice: Your international parcel requires a Ksh1,200 customs clearance fee. Send to 0712445599 to release it for delivery.",fraud,en,fake_delivery_payment,batch9_ai,2026-06-23
"mse hii ni courier, mzigo wako uko depot, tuma Ksh450 kwa 0734667722 ndio tukupelekee leo bila kuchelewa",fraud,sheng,fake_delivery_payment,batch9_ai,2026-06-23
"Habari, Glovo delivery yako imechelewa kwa sababu ya malipo ya pending Ksh350. Tuma kwa namba 0701223399 kukamilisha order.",fraud,sw,fake_delivery_payment,batch9_ai,2026-06-23
"Your G4S package is stuck at the depot due to an unpaid handling fee of Ksh550. Send it to 0745889922 to receive your item today.",fraud,en,fake_delivery_payment,batch9_ai,2026-06-23
"buda mzigo wako wa Kilimall uko ready lakini lazima ulipie Ksh600 transport fee kwa namba 0712998877 leo",fraud,sheng,fake_delivery_payment,batch9_ai,2026-06-23
"Habari mteja, parcel yako kutoka China imefika lakini inahitaji Ksh1,500 ada ya forodha. Tuma kwa namba hii 0789221144.",fraud,sw,fake_delivery_payment,batch9_ai,2026-06-23
"Your Wells Fargo Courier package needs a Ksh900 release fee before delivery. Send the payment to 0701556633 to get your item today.",fraud,en,fake_delivery_payment,batch9_ai,2026-06-23
"niaje msee, hii ni delivery yako kutoka Jumia, tuma Ksh400 kwa namba 0745112277 ndio mzigo ufike kwako leo",fraud,sheng,fake_delivery_payment,batch9_ai,2026-06-23
"Habari, mzigo wako wa simu mpya umefika kituo cha Sendy. Tuma Ksh550 ada ya kufikisha kwa namba hii 0712889933 leo.",fraud,sw,fake_delivery_payment,batch9_ai,2026-06-23
"Your courier service has your parcel ready but requires a Ksh750 last-mile delivery fee sent to 0734556688 before dispatch.",fraud,en,fake_delivery_payment,batch9_ai,2026-06-23
"buda kuna parcel yako iko kwa warehouse, tuma Ksh500 ada kwa 0701776655 ndio wapeleke kwako leo bila stress",fraud,sheng,fake_delivery_payment,batch9_ai,2026-06-23
"Habari mteja, bidhaa yako kutoka Alibaba imefika Nairobi lakini inahitaji ushuru wa Ksh1,800. Tuma kwa namba 0745667711 leo.",fraud,sw,fake_delivery_payment,batch9_ai,2026-06-23
"Your Fargo delivery agent is waiting for a Ksh650 confirmation fee before bringing your package. Send to 0789112255 now.",fraud,en,fake_delivery_payment,batch9_ai,2026-06-23
"mse hii ni Sendy courier, package yako iko hapa office, tuma Ksh500 kwa namba 0712334477 ndio tuipeleke kwako leo",fraud,sheng,fake_delivery_payment,batch9_ai,2026-06-23
"Habari, mzigo wako wa Kilimall umechelewa kwa sababu ya bill ya pending Ksh380. Tuma kwa namba hii 0701998822 kukamilisha.",fraud,sw,fake_delivery_payment,batch9_ai,2026-06-23
"Your shipment is held at customs requiring a Ksh1,350 release fee. Pay now to 0745221199 to avoid further delays in delivery.",fraud,en,fake_delivery_payment,batch9_ai,2026-06-23
"buda parcel yako iko ready kupelekwa, lakini lazima ulipe Ksh420 transport fee kwa 0734998866 leo leo",fraud,sheng,fake_delivery_payment,batch9_ai,2026-06-23
"Habari mteja, order yako kutoka Jumia inahitaji uthibitisho wa malipo ya Ksh700 kabla kupelekwa. Tuma kwa namba 0712667744.",fraud,sw,fake_delivery_payment,batch9_ai,2026-06-23
"Your DHL Express package requires an additional Ksh1,100 handling charge before final delivery. Send to 0789556677 today.",fraud,en,fake_delivery_payment,batch9_ai,2026-06-23
"mzee hii ni courier wa Glovo, order yako iko stuck, tuma Ksh350 kwa namba 0701445588 ndio ifike kwako leo",fraud,sheng,fake_delivery_payment,batch9_ai,2026-06-23
"Habari, kifurushi chako kutoka nje ya nchi kimefika lakini ushuru wa Ksh2,000 unahitajika. Tuma kwa namba hii 0745889911.",fraud,sw,fake_delivery_payment,batch9_ai,2026-06-23
