message_text,label,language,fraud_category,source,date_collected
"TGH3K9XUA Confirmed. Ksh350.00 paid to UBER TRIP. on 23/6/26 at 9:30 AM. New M-PESA balance is Ksh905.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"QML7P2NUA Confirmed. Ksh480.00 paid to BOLT RIDE. on 23/6/26 at 10:55 AM. New M-PESA balance is Ksh610.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"Imethibitishwa. Ksh250.00 imelipwa kwa LITTLE CAB. tarehe 23/6/26 saa 11:20. Salio jipya ni Ksh940.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch16,2026-06-23
"RKT4Q9WUA Confirmed. Ksh620.00 paid to UBER TRIP. on 23/6/26 at 1:35 PM. New M-PESA balance is Ksh2,650.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"NHX8M3LUA Confirmed. Ksh180.00 paid to BOLT RIDE. on 23/6/26 at 2:55 PM. New M-PESA balance is Ksh1,350.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"Imethibitishwa. Ksh400.00 imelipwa kwa LITTLE CAB. tarehe 23/6/26 saa 8:40. Salio jipya ni Ksh940.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch16,2026-06-23
"OPZ5R7XUA Confirmed. Ksh750.00 paid to UBER TRIP. on 23/6/26 at 3:20 PM. New M-PESA balance is Ksh750.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"FGL2K9YUA Confirmed. Ksh300.00 paid to BOLT RIDE. on 23/6/26 at 8:45 AM. New M-PESA balance is Ksh1,210.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"Imethibitishwa. Ksh550.00 imelipwa kwa UBER TRIP. tarehe 23/6/26 saa 13:25. Salio jipya ni Ksh1,580.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch16,2026-06-23
"DHK4M8NUA Confirmed. Ksh900.00 paid to BOLT RIDE. on 23/6/26 at 1:05 PM. New M-PESA balance is Ksh1,940.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"WLN9P2KUA Confirmed. Ksh200.00 paid to LITTLE CAB. on 23/6/26 at 7:55 AM. New M-PESA balance is Ksh615.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"Imethibitishwa. Ksh420.00 imelipwa kwa UBER TRIP. tarehe 23/6/26 saa 16:35. Salio jipya ni Ksh1,330.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch16,2026-06-23
"JBM6T1ZUA Confirmed. Ksh650.00 paid to BOLT RIDE. on 23/6/26 at 10:00 AM. New M-PESA balance is Ksh930.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"YGT3K9MUA Confirmed. Ksh280.00 paid to LITTLE CAB. on 23/6/26 at 4:40 PM. New M-PESA balance is Ksh830.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"Imethibitishwa. Ksh700.00 imelipwa kwa UBER TRIP. tarehe 23/6/26 saa 10:00. Salio jipya ni Ksh910.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch16,2026-06-23
"VKQ8R4NUA Confirmed. Ksh380.00 paid to BOLT RIDE. on 23/6/26 at 11:45 AM. New M-PESA balance is Ksh1,320.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"ZWQ7M2PUA Confirmed. Ksh150.00 paid to LITTLE CAB. on 23/6/26 at 2:30 PM. New M-PESA balance is Ksh565.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"Imethibitishwa. Ksh850.00 imelipwa kwa UBER TRIP. tarehe 23/6/26 saa 17:15. Salio jipya ni Ksh820.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch16,2026-06-23
"AGT5K3PUA Confirmed. Ksh320.00 paid to BOLT RIDE. on 23/6/26 at 6:35 PM. New M-PESA balance is Ksh940.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"NHT9P6XUA Confirmed. Ksh500.00 paid to UBER TRIP. on 23/6/26 at 8:20 AM. New M-PESA balance is Ksh1,880.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"Imethibitishwa. Ksh230.00 imelipwa kwa LITTLE CAB. tarehe 23/6/26 saa 13:55. Salio jipya ni Ksh3,210.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch16,2026-06-23
"PLM4Q9TUA Confirmed. Ksh680.00 paid to BOLT RIDE. on 23/6/26 at 10:25 AM. New M-PESA balance is Ksh950.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"RXTQ4P9UA Confirmed. Ksh190.00 paid to UBER TRIP. on 23/6/26 at 3:50 PM. New M-PESA balance is Ksh420.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"Imethibitishwa. Ksh560.00 imelipwa kwa BOLT RIDE. tarehe 23/6/26 saa 9:15. Salio jipya ni Ksh1,915.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch16,2026-06-23
"7KXTQ9MUA Confirmed. Ksh420.00 paid to LITTLE CAB. on 23/6/26 at 12:05 PM. New M-PESA balance is Ksh545.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"NPXT6K3UA Confirmed. Ksh720.00 paid to UBER TRIP. on 23/6/26 at 5:10 PM. New M-PESA balance is Ksh1,140.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"Imethibitishwa. Ksh250.00 imelipwa kwa BOLT RIDE. tarehe 23/6/26 saa 7:20. Salio jipya ni Ksh2,310.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch16,2026-06-23
"KQXT9M3UA Confirmed. Ksh600.00 paid to LITTLE CAB. on 23/6/26 at 12:45 PM. New M-PESA balance is Ksh880.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"DHKQ9XPUA Confirmed. Ksh330.00 paid to UBER TRIP. on 23/6/26 at 9:10 AM. New M-PESA balance is Ksh460.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"6PQR9MXUA Confirmed. Ksh800.00 paid to BOLT RIDE. on 23/6/26 at 10:35 AM. New M-PESA balance is Ksh260.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"Imethibitishwa. Ksh270.00 imelipwa kwa LITTLE CAB. tarehe 23/6/26 saa 14:10. Salio jipya ni Ksh595.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch16,2026-06-23
"3XPQ9MTUA Confirmed. Ksh450.00 paid to UBER TRIP. on 23/6/26 at 7:00 PM. New M-PESA balance is Ksh1,005.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"8MQT4XPUA Confirmed. Ksh950.00 paid to BOLT RIDE. on 23/6/26 at 9:45 AM. New M-PESA balance is Ksh1,280.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"Imethibitishwa. Ksh310.00 imelipwa kwa LITTLE CAB. tarehe 23/6/26 saa 15:35. Salio jipya ni Ksh1,235.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch16,2026-06-23
"GHT2K9XUA Confirmed. Ksh580.00 paid to UBER TRIP. on 23/6/26 at 11:25 AM. New M-PESA balance is Ksh3,615.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"LMNQ8K3UA Confirmed. Ksh220.00 paid to BOLT RIDE. on 23/6/26 at 4:15 PM. New M-PESA balance is Ksh430.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"Imethibitishwa. Ksh640.00 imelipwa kwa UBER TRIP. tarehe 23/6/26 saa 10:10. Salio jipya ni Ksh1,870.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch16,2026-06-23
"XQTM5K9UA Confirmed. Ksh390.00 paid to LITTLE CAB. on 23/6/26 at 12:50 PM. New M-PESA balance is Ksh890.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"WPLT7K3UA Confirmed. Ksh510.00 paid to BOLT RIDE. on 23/6/26 at 16:00. New M-PESA balance is Ksh1,220.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"Imethibitishwa. Ksh260.00 imelipwa kwa LITTLE CAB. tarehe 23/6/26 saa 8:30. Salio jipya ni Ksh345.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch16,2026-06-23
"VNXT6K3UA Confirmed. Ksh820.00 paid to UBER TRIP. on 23/6/26 at 14:05. New M-PESA balance is Ksh1,640.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"HJKQ8M3UA Confirmed. Ksh190.00 paid to BOLT RIDE. on 23/6/26 at 9:55 AM. New M-PESA balance is Ksh695.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
"Imethibitishwa. Ksh700.00 imelipwa kwa UBER TRIP. tarehe 23/6/26 saa 14:40. Salio jipya ni Ksh780.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch16,2026-06-23
"RTYU8K2PUA Confirmed. Ksh460.00 paid to LITTLE CAB. on 23/6/26 at 5:40 PM. New M-PESA balance is Ksh1,725.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch16,2026-06-23
