message_text,label,language,fraud_category,source,date_collected
"Hujambo, mfungwa Kamiti Maximum anataka kuwasiliana nawe kuhusu urithi mkubwa wa familia. Piga 0712334455 kwa maelezo zaidi.",fraud,sw,prisoner_inheritance_scam,batch17_ai,2026-06-23
"Hello, I am a prison officer at Kamiti, an inmate has left a large inheritance for you. Call 0745998822 urgently for details.",fraud,en,prisoner_inheritance_scam,batch17_ai,2026-06-23
"buda mfungwa mmoja kutoka Kamiti ana mali ya milioni 8 anataka kukurithisha, piga 0701887744 kwa more details",fraud,sheng,prisoner_inheritance_scam,batch17_ai,2026-06-23
"Habari, mimi ni Wakili kutoka Kamiti, mfungwa mmoja ana mali ya milioni 5 anataka kukurithisha. Tuma Ksh2,000 ada kwa 0789556699.",fraud,sw,prisoner_inheritance_scam,batch17_ai,2026-06-23
"Greetings, I am a lawyer representing an inmate at Kamiti who wishes to leave you an inheritance. Send Ksh2,500 fee to 0712445599.",fraud,en,prisoner_inheritance_scam,batch17_ai,2026-06-23
"mse hii ni Daktari kutoka Kamiti Hospital, mfungwa amefariki na ameacha pesa nyingi benki, piga 0734667722 leo kwa details",fraud,sheng,prisoner_inheritance_scam,batch17_ai,2026-06-23
"Habari, mfungwa Naivasha Maximum anataka kushirikiana nawe kuhusu urithi wa familia yake. Piga simu 0701223399 kwa maelezo.",fraud,sw,prisoner_inheritance_scam,batch17_ai,2026-06-23
"This is a confidential message from a Ukonga Prison inmate regarding a family inheritance matter. Call 0745889922 for details now.",fraud,en,prisoner_inheritance_scam,batch17_ai,2026-06-23
"buda mfungwa kutoka Shimo la Tewa ana urithi mkubwa anataka kukugawia, tuma jibu kwa SMS hii au piga 0712998877",fraud,sheng,prisoner_inheritance_scam,batch17_ai,2026-06-23
"Habari, mimi ni Askari Magereza, mfungwa mmoja ana mali ya milioni 12 anataka kukurithisha kwa siri. Piga 0789221144 leo.",fraud,sw,prisoner_inheritance_scam,batch17_ai,2026-06-23
"Hello, I work at Kodiaga Prison, a wealthy inmate has chosen you to inherit his estate. Call 0701556633 immediately for details.",fraud,en,prisoner_inheritance_scam,batch17_ai,2026-06-23
"niaje msee, kuna mfungwa kutoka Mombasa Prison ana urithi mkubwa, piga 0745112277 ndio tuelezee zaidi kuhusu hii kesi",fraud,sheng,prisoner_inheritance_scam,batch17_ai,2026-06-23
"Habari, hii ni siri kubwa, mfungwa mmoja Kamiti ana akaunti ya benki ya milioni 20 anataka kukurithisha. Piga 0712889933.",fraud,sw,prisoner_inheritance_scam,batch17_ai,2026-06-23
"This is a private legal matter, an inmate at Kamiti wishes to transfer his fortune to you before his sentence ends. Call 0734556688.",fraud,en,prisoner_inheritance_scam,batch17_ai,2026-06-23
"buda mfungwa amefariki Kamiti na ameacha urithi mkubwa, mimi ni wakili wake, piga 0701776655 kwa maelezo zaidi",fraud,sheng,prisoner_inheritance_scam,batch17_ai,2026-06-23
"Habari, mimi ni Padri anayehudumu Kamiti, mfungwa mmoja amenitaka kukutafuta kuhusu urithi wake. Piga 0745667711 leo.",fraud,sw,prisoner_inheritance_scam,batch17_ai,2026-06-23
"Dear friend, I am a chaplain at Naivasha Prison helping a dying inmate transfer his wealth. Call 0789112255 to discuss further.",fraud,en,prisoner_inheritance_scam,batch17_ai,2026-06-23
"mzee kuna mfungwa Shimo la Tewa amekuchagua kupokea urithi wake mkubwa, piga 0712334477 kwa maelezo kamili leo",fraud,sheng,prisoner_inheritance_scam,batch17_ai,2026-06-23
"Habari, mimi ni Mwanasheria, mfungwa mmoja anayetumikia kifungo Kamiti ana mali isiyohamishika anataka kukurithisha. Piga 0701998822.",fraud,sw,prisoner_inheritance_scam,batch17_ai,2026-06-23
"Hello, I am handling the estate of a deceased inmate from Kodiaga who named you as beneficiary. Call 0745221199 for full details.",fraud,en,prisoner_inheritance_scam,batch17_ai,2026-06-23
"buda mfungwa amenipa jukumu la kukufuata kuhusu urithi mkubwa wa milioni, piga 0734998866 leo bila kuchelewa",fraud,sheng,prisoner_inheritance_scam,batch17_ai,2026-06-23
"Habari, mimi ni Daktari kutoka Kamiti Hospital, mfungwa mmoja amefariki na ameacha gari na nyumba kwa wewe. Piga 0712667744.",fraud,sw,prisoner_inheritance_scam,batch17_ai,2026-06-23
"This is urgent, an inmate from Kamiti Prison wants to share his hidden fortune with you before he is released. Call 0789556677.",fraud,en,prisoner_inheritance_scam,batch17_ai,2026-06-23
"niaje buda, kuna mfungwa kutoka Naivasha Maximum amenitaka kuwasiliana na wewe kuhusu mali yake, piga 0701445588 leo.",fraud,sheng,prisoner_inheritance_scam,batch17_ai,2026-06-23
"Habari, hii ni siri kati yetu, mfungwa mmoja Kamiti ana fedha za kigeni anataka kuzihifadhi kwako. Piga 0745889911 leo.",fraud,sw,prisoner_inheritance_scam,batch17_ai,2026-06-23
"Confidential message: A wealthy inmate at Shimo la Tewa has selected you to receive his assets. Call 0712998855 right away.",fraud,en,prisoner_inheritance_scam,batch17_ai,2026-06-23
"buda mfungwa kutoka Kodiaga Prison ana mali ya milioni 15 anataka kukugawia kabla afe, piga 0734556699 leo bila kuchelewa",fraud,sheng,prisoner_inheritance_scam,batch17_ai,2026-06-23
"Habari, mimi ni Askari Magereza wa Mombasa, mfungwa mmoja anayetumikia kifungo cha maisha ana urithi mkubwa. Piga 0701887766.",fraud,sw,prisoner_inheritance_scam,batch17_ai,2026-06-23
"This is the deputy chaplain at Kamiti, a dying inmate has requested I find you to inherit his property. Call 0745112288 now.",fraud,en,prisoner_inheritance_scam,batch17_ai,2026-06-23
"mse mfungwa amenichagua mimi kukutafuta kuhusu urithi wake mkubwa, piga 0712445566 leo kwa maelezo ya siri kabisa",fraud,sheng,prisoner_inheritance_scam,batch17_ai,2026-06-23
"Habari, kuna mfungwa kutoka Naivasha ana akiba ya benki ya kigeni anataka kukurithisha kwa sababu wewe ni mwema. Piga 0789221166.",fraud,sw,prisoner_inheritance_scam,batch17_ai,2026-06-23
"This is a confidential message about an inheritance from an inmate serving time at Kamiti who has no living relatives. Call 0701556644.",fraud,en,prisoner_inheritance_scam,batch17_ai,2026-06-23
"buda mfungwa Kodiaga amesema lazima nikutafute haraka kuhusu urithi mkubwa, piga 0745667799 leo kabla afariki",fraud,sheng,prisoner_inheritance_scam,batch17_ai,2026-06-23
