message_text,label,language,fraud_category,source,date_collected
"TBD9X4RT2P Confirmed. Ksh2,500.00 sent to JOHN KAMAU 0712345678 on 18/6/26 at 3:42 PM. New M-PESA balance is Ksh1,340.00. Transaction cost, Ksh0.00.",legit,en,n/a,claude_synthetic,2026-06-21
"QGH7K2MNB Confirmed. You have received Ksh1,000.00 from MARY WANJIRU 0722112233 on 18/6/26 at 9:15 AM. New M-PESA balance is Ksh3,210.00.",legit,en,n/a,claude_synthetic,2026-06-21
"SGH7XYZ890 Confirmed. Ksh500.00 paid to KPLC PREPAID for account 12345678. on 18/6/26 at 11:02 AM. New M-PESA balance is Ksh890.00. Transaction cost, Ksh0.00.",legit,en,n/a,claude_synthetic,2026-06-21
"RKL4P9QWE Confirmed. Ksh3,750.00 sent to PETER OCHIENG 0733998877 on 17/6/26 at 6:20 PM. New M-PESA balance is Ksh12,430.00. Transaction cost, Ksh33.00.",legit,en,n/a,claude_synthetic,2026-06-21
"NQT8M3LXP Confirmed. Ksh150.00 paid to NAIVAS SUPERMARKET. on 18/6/26 at 1:10 PM. New M-PESA balance is Ksh740.00. Transaction cost, Ksh0.00.",legit,en,n/a,claude_synthetic,2026-06-21
"OPX5R7ZWQ Confirmed. You have received Ksh5,000.00 from GRACE NJERI 0700112244 on 18/6/26 at 8:05 AM. New M-PESA balance is Ksh6,540.00.",legit,en,n/a,claude_synthetic,2026-06-21
"FUL2K9YTR Fuliza M-PESA. Ksh200.00 used to complete your transaction of Ksh1,200.00 to JAVA HOUSE. Fuliza M-PESA outstanding amount is Ksh200.00 due on 25/6/26. Interest is Ksh1.50 per day.",legit,en,n/a,claude_synthetic,2026-06-21
"DHJ4M8NPQ Confirmed. Ksh1,200.00 paid to ZUKU TV for account 998877. on 18/6/26 at 2:30 PM. New M-PESA balance is Ksh3,300.00. Transaction cost, Ksh0.00.",legit,en,n/a,claude_synthetic,2026-06-21
"WLT9P2KXR Confirmed. Ksh800.00 sent to SAMUEL KIPCHOGE 0790112233 on 17/6/26 at 4:15 PM. New M-PESA balance is Ksh2,100.00. Transaction cost, Ksh10.00.",legit,en,n/a,claude_synthetic,2026-06-21
"JBN6T1ZQX Confirmed. You bought Ksh2,000.00 of airtime on 18/6/26 at 7:40 AM. New M-PESA balance is Ksh1,890.00.",legit,en,n/a,claude_synthetic,2026-06-21
"YGT3K9MWP Confirmed. Ksh4,500.00 paid to TOTAL ENERGIES PETROL STATION till 445566. on 18/6/26 at 12:20 PM. New M-PESA balance is Ksh890.00.",legit,en,n/a,claude_synthetic,2026-06-21
"M-PESA statement requested. Your statement for the period 01/05/26 to 31/05/26 has been sent to your registered email address.",legit,en,n/a,claude_synthetic,2026-06-21
"M-Shwari: Your deposit of Ksh3,000.00 was successful on 18/6/26. Your M-Shwari savings balance is now Ksh18,500.00. Dial *334# for more options.",legit,en,n/a,claude_synthetic,2026-06-21
