message_text,label,language,fraud_category,source,date_collected
"Habari, umepata ufadhili wa masomo wa Ksh150,000 kutoka shirika la kimataifa la UNESCO. Tuma Ksh1,500 ada ya usajili kwa 0712334455.",fraud,sw,fake_scholarship,batch13_ai,2026-06-23
"Congratulations! You have been awarded a Ksh200,000 scholarship from the Mastercard Foundation. Send Ksh1,800 processing fee to 0745998822.",fraud,en,fake_scholarship,batch13_ai,2026-06-23
"buda umepata scholarship ya Ksh80,000 kutoka NGO ya kimataifa, tuma Ksh900 registration fee kwa namba 0701887744 leo",fraud,sheng,fake_scholarship,batch13_ai,2026-06-23
"Habari mwanafunzi, HELB imekutangaza mshindi wa ufadhili wa Ksh100,000. Tuma Ksh700 ada ya kuthibitisha kwa namba 0789556699.",fraud,sw,fake_scholarship,batch13_ai,2026-06-23
"You have been selected for a full university scholarship worth Ksh500,000 from a foreign donor. Send Ksh2,000 fee to 0712445599 today.",fraud,en,fake_scholarship,batch13_ai,2026-06-23
"mse umepata bursary ya Ksh60,000 kutoka Constituency Fund, tuma Ksh500 ada ya usajili kwa namba 0734667722 leo bro",fraud,sheng,fake_scholarship,batch13_ai,2026-06-23
"Habari, shirika la Bill Gates Foundation limekuchagua kupata ufadhili wa masomo Ksh250,000. Tuma Ksh1,200 kodi kwa 0701223399.",fraud,sw,fake_scholarship,batch13_ai,2026-06-23
"Your application has been approved for a Ksh120,000 government education grant. Send Ksh650 verification fee to 0745889922 now.",fraud,en,fake_scholarship,batch13_ai,2026-06-23
"buda umepata grant ya masomo kutoka World Bank ya Ksh300,000, tuma Ksh1,400 ada kwa namba 0712998877 leo leo",fraud,sheng,fake_scholarship,batch13_ai,2026-06-23
"Habari mwanafunzi, umechaguliwa kupokea ufadhili wa Ksh90,000 kutoka NGO ya elimu. Tuma Ksh800 ada ya kuthibitisha kwa 0789221144.",fraud,sw,fake_scholarship,batch13_ai,2026-06-23
"You qualify for a Ksh175,000 scholarship sponsored by the European Union Education Fund. Send Ksh950 fee to 0701556633 to proceed.",fraud,en,fake_scholarship,batch13_ai,2026-06-23
"niaje msee, umepata bursary kutoka County Government ya Ksh50,000, tuma Ksh400 confirmation kwa namba 0745112277 leo",fraud,sheng,fake_scholarship,batch13_ai,2026-06-23
"Habari, shirika la UNICEF limekutangaza mshindi wa ufadhili wa masomo Ksh130,000. Tuma Ksh750 ada ya usajili kwa 0712889933.",fraud,sw,fake_scholarship,batch13_ai,2026-06-23
"Congratulations, you've been awarded a Ksh220,000 study grant from a private foundation. Send Ksh1,100 fee to 0734556688 today.",fraud,en,fake_scholarship,batch13_ai,2026-06-23
"buda umepata scholarship ya masomo ya Ksh70,000 kutoka church fund, tuma Ksh550 ada kwa namba 0701776655 leo bila kuchelewa",fraud,sheng,fake_scholarship,batch13_ai,2026-06-23
"Habari mwanafunzi, umechaguliwa kupokea ufadhili wa Ksh160,000 kutoka shirika la kimataifa la USAID. Tuma Ksh900 ada kwa 0745667711.",fraud,sw,fake_scholarship,batch13_ai,2026-06-23
"You have qualified for a Ksh85,000 vocational training grant. Send Ksh480 registration fee to 0789112255 to secure your slot today.",fraud,en,fake_scholarship,batch13_ai,2026-06-23
"mzee umepata ufadhili wa kusoma nje ya nchi Ksh400,000, tuma Ksh1,800 ada ya visa kwa namba 0712334477 leo",fraud,sheng,fake_scholarship,batch13_ai,2026-06-23
"Habari, NACOSTI imekuchagua kupokea ufadhili wa utafiti wa Ksh110,000. Tuma Ksh650 ada ya uthibitisho kwa namba 0701998822.",fraud,sw,fake_scholarship,batch13_ai,2026-06-23
"Your name has been picked for a Ksh195,000 international exchange scholarship. Send Ksh1,000 visa processing fee to 0745221199.",fraud,en,fake_scholarship,batch13_ai,2026-06-23
"buda umepata scholarship kutoka Rotary Club ya Ksh65,000, tuma Ksh420 ada ya kuthibitisha kwa namba 0734998866 leo",fraud,sheng,fake_scholarship,batch13_ai,2026-06-23
"Habari mwanafunzi, umechaguliwa kupata bursary ya Ksh75,000 kutoka Member of Parliament Fund. Tuma Ksh500 ada kwa 0712667744.",fraud,sw,fake_scholarship,batch13_ai,2026-06-23
"Congratulations, your application for a Ksh140,000 STEM education grant has been approved. Send Ksh750 fee to 0789556677 today.",fraud,en,fake_scholarship,batch13_ai,2026-06-23
"niaje buda, umepata ufadhili wa Ksh55,000 kutoka shirika la kanisa, tuma Ksh380 ada kwa namba 0701445588 leo leo",fraud,sheng,fake_scholarship,batch13_ai,2026-06-23
"Habari, umechaguliwa kupokea scholarship ya masomo ya juu kutoka Ford Foundation Ksh280,000. Tuma Ksh1,300 ada kwa 0745889911.",fraud,sw,fake_scholarship,batch13_ai,2026-06-23
"You have been awarded a Ksh100,000 sponsorship for college fees from an anonymous donor. Send Ksh600 fee to 0712998855 to proceed.",fraud,en,fake_scholarship,batch13_ai,2026-06-23
"buda umepata scholarship kutoka Open Society Foundation ya Ksh190,000, tuma Ksh950 ada kwa namba 0734556699 leo",fraud,sheng,fake_scholarship,batch13_ai,2026-06-23
"Habari mwanafunzi, NHIF imetangaza ufadhili wa masomo ya udaktari wa Ksh350,000. Tuma Ksh1,600 ada ya kuthibitisha kwa 0701887766.",fraud,sw,fake_scholarship,batch13_ai,2026-06-23
"Your name was selected for a Ksh125,000 women's education empowerment grant. Send Ksh700 verification fee to 0745112288 today.",fraud,en,fake_scholarship,batch13_ai,2026-06-23
"niaje msee, umepata bursary ya Ksh45,000 kutoka kampuni ya local NGO, tuma Ksh350 confirmation kwa namba 0712445566 leo",fraud,sheng,fake_scholarship,batch13_ai,2026-06-23
"Habari, umechaguliwa kupokea ufadhili wa Ksh170,000 kutoka shirika la kimataifa la elimu. Tuma Ksh850 ada kwa namba 0789221166.",fraud,sw,fake_scholarship,batch13_ai,2026-06-23
"Congratulations, your sponsorship application for Ksh210,000 in tuition assistance has been approved. Send Ksh1,050 fee to 0701556644.",fraud,en,fake_scholarship,batch13_ai,2026-06-23
"buda umepata grant ya masomo ya teknolojia Ksh95,000, tuma Ksh550 ada ya usajili kwa namba 0745667799 leo bro",fraud,sheng,fake_scholarship,batch13_ai,2026-06-23
"Habari mwanafunzi, umechaguliwa kupata ufadhili wa Ksh135,000 kutoka shirika la AfDB. Tuma Ksh700 ada ya kuthibitisha kwa 0712889944.",fraud,sw,fake_scholarship,batch13_ai,2026-06-23
"You qualify for a Ksh165,000 graduate research scholarship from a foreign university. Send Ksh850 verification fee to 0701998833.",fraud,en,fake_scholarship,batch13_ai,2026-06-23
"mse umepata ufadhili wa Ksh58,000 kutoka local council, tuma Ksh400 ada kwa namba 0734221188 leo bila kuchelewa",fraud,sheng,fake_scholarship,batch13_ai,2026-06-23
"Habari, umechaguliwa kupokea bursary ya Ksh72,000 kutoka taasisi ya elimu ya bure. Tuma Ksh480 ada kwa namba 0745998822.",fraud,sw,fake_scholarship,batch13_ai,2026-06-23
"Your name has been picked for a Ksh230,000 international scholarship sponsored by a private donor. Send Ksh1,150 fee to 0712556677.",fraud,en,fake_scholarship,batch13_ai,2026-06-23
"buda umepata scholarship ya kusoma medicine nje, tuma Ksh1,200 ada ya usajili kwa namba 0701445599 leo leo",fraud,sheng,fake_scholarship,batch13_ai,2026-06-23
"Habari mwanafunzi, umechaguliwa kupata ufadhili wa Ksh185,000 kutoka shirika la kimataifa la Plan International. Tuma Ksh920 ada kwa 0789112277.",fraud,sw,fake_scholarship,batch13_ai,2026-06-23
"Congratulations, your Ksh68,000 community college grant application has been approved. Send Ksh420 processing fee to 0745889933 today.",fraud,en,fake_scholarship,batch13_ai,2026-06-23
"niaje buda, umepata bursary ya Ksh48,000 kutoka shirika la dini, tuma Ksh330 ada kwa namba 0712998811 leo",fraud,sheng,fake_scholarship,batch13_ai,2026-06-23
"Habari, umechaguliwa kupokea ufadhili wa masomo ya Ksh145,000 kutoka shirika la kimataifa la Save the Children. Tuma Ksh750 kwa 0701776644.",fraud,sw,fake_scholarship,batch13_ai,2026-06-23
"You have been selected for a Ksh105,000 boarding school scholarship by an education trust. Send Ksh550 fee to 0734667733 to confirm.",fraud,en,fake_scholarship,batch13_ai,2026-06-23
"buda umepata grant ya masomo Ksh82,000 kutoka shirika la kimataifa, tuma Ksh480 ada kwa namba 0745221177 leo leo",fraud,sheng,fake_scholarship,batch13_ai,2026-06-23
"Habari mwanafunzi, umechaguliwa kupata ufadhili wa Ksh198,000 kutoka shirika la Aga Khan Foundation. Tuma Ksh990 ada kwa 0712334466.",fraud,sw,fake_scholarship,batch13_ai,2026-06-23
"You qualify for a Ksh155,000 international student exchange scholarship. Send Ksh780 registration fee to 0701998811 to confirm your slot.",fraud,en,fake_scholarship,batch13_ai,2026-06-23
"mse umepata bursary ya Ksh62,000 kutoka NGO ya local community, tuma Ksh400 ada kwa namba 0789556633 leo bila kuchelewa",fraud,sheng,fake_scholarship,batch13_ai,2026-06-23
