message_text,label,language,fraud_category,source,date_collected
"Habari mteja, namba yako itahamishwa kwa SIM mpya kwa sababu ya uharibifu ulioripotiwa. Tuma PIN yako kwa 0712334455 kuzuia uhamisho.",fraud,sw,sim_swap_attempt,batch10_ai,2026-06-26
"Your SIM card will be replaced due to a reported damage request. If this wasn't you, send your PIN to 0745998822 to cancel it now.",fraud,en,sim_swap_attempt,batch10_ai,2026-06-26
"buda kuna request ya kubadilisha SIM yako, kama hiyo si wewe tuma PIN kwa 0701887744 sasa ndio tucancel",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-26
Tahadhari: Tumepokea ombi la kuhamisha namba yako kwa simu mpya. Tuma PIN yako kwa 0789556699 kuzuia uhamisho usioidhinishwa.,fraud,sw,sim_swap_attempt,batch10_ai,2026-06-26
SIM Swap Alert: A request has been made to transfer your number to a new SIM. Cancel it by sending your PIN to 0712445599 now.,fraud,en,sim_swap_attempt,batch10_ai,2026-06-26
"mse kuna mtu anatry kubadilisha SIM yako somewhere, tuma PIN kwa 0734667722 ndio tublock huyo before akufanyie hujuma",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-26
"Habari, namba yako iko hatarini kuhamishwa kwa SIM nyingine bila ruhusa. Tuma PIN yako sasa kwa 0701223399 kuzuia hili.",fraud,sw,sim_swap_attempt,batch10_ai,2026-06-26
"Your line is scheduled for SIM replacement in 30 minutes. If you did not request this, send your PIN to 0745889922 to stop it.",fraud,en,sim_swap_attempt,batch10_ai,2026-06-26
"buda kuna SIM swap request kwa namba yako leo, kama si wewe tuma PIN kwa 0712998877 mapema kabla mtu apate access",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-26
Tahadhari kutoka Safaricom: Mtu fulani amewasilisha ombi la kubadilisha SIM yako. Tuma PIN kwa namba 0789221144 kuzuia.,fraud,sw,sim_swap_attempt,batch10_ai,2026-06-26
Notice: We've received a SIM swap request for your number from a different location. Send your PIN to 0701556633 to block it.,fraud,en,sim_swap_attempt,batch10_ai,2026-06-26
"niaje msee, namba yako iko risk ya kuhamishwa kwa SIM nyingine, tuma PIN kwa 0745112277 ndio tucancel hiyo request",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-26
"Habari mteja, ombi la kubadilisha SIM yako limepokelewa kutoka eneo lisilo la kawaida. Tuma PIN sasa kwa 0712889933.",fraud,sw,sim_swap_attempt,batch10_ai,2026-06-26
Your number is at risk of being ported to another network without your consent. Confirm your identity by sending PIN to 0734556688.,fraud,en,sim_swap_attempt,batch10_ai,2026-06-26
"buda kuna mtu anataka kuhamisha namba yako kwa SIM yake, tuma PIN sasa kwa 0701776655 ndio tumstop kabla apate control",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-26
Tahadhari: Tumeona shughuli ya kubadilisha SIM kwenye namba yako. Tuma PIN yako kwa namba 0745667711 kuzuia uhamisho.,fraud,sw,sim_swap_attempt,batch10_ai,2026-06-26
SIM Replacement Notice: Your card will be deactivated and replaced unless you cancel by sending your PIN to 0789112255 now.,fraud,en,sim_swap_attempt,batch10_ai,2026-06-26
"mzee namba yako iko process ya kuhamishwa SIM bila wewe, tuma PIN kwa namba 0712334477 kabla iende mbali sana",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-26
"Habari, kuna ombi la kubadilisha SIM kwa namba yako lililowasilishwa leo asubuhi. Tuma PIN sasa kwa 0701998822 kuzuia.",fraud,sw,sim_swap_attempt,batch10_ai,2026-06-26
Your number has been flagged for an unauthorized SIM swap request. Send your PIN to 0745221199 immediately to prevent it.,fraud,en,sim_swap_attempt,batch10_ai,2026-06-26
"buda kuna error report kwa SIM yako, lazima uconfirm na PIN kwa 0734998866 ndio system isikamilishe huo uhamisho",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-26
Tahadhari kutoka Vodacom: Namba yako iko kwenye hatari ya kuhamishwa kwa SIM mpya. Tuma PIN yako kwa 0712667744 sasa.,fraud,sw,sim_swap_attempt,batch10_ai,2026-06-26
Your SIM card status shows a pending transfer initiated from another device. Cancel by sending your PIN to 0789556677 now.,fraud,en,sim_swap_attempt,batch10_ai,2026-06-26
"mse hii ni alert ya SIM swap, kama hujarequest tuma PIN kwa namba 0701445588 ndio tublock huyo mtu anayetry",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-26
"Habari mteja, system imegundua jaribio la kubadilisha SIM yako kutoka eneo jingine. Tuma PIN kwa 0745889911 kuzuia.",fraud,sw,sim_swap_attempt,batch10_ai,2026-06-26
"Notice: A SIM card replacement for your number is in progress. If unauthorized, send your PIN to 0712998855 to stop it now.",fraud,en,sim_swap_attempt,batch10_ai,2026-06-26
"buda kuna mtu anatry kupata namba yako kwa SIM nyingine, tuma PIN kwa 0734556699 sasa kabla wakupate access kabisa",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-26
Tahadhari: Tumepokea taarifa ya kuomba SIM mpya kwa namba yako. Tuma PIN yako kwa namba 0701887766 kuzuia uhamisho.,fraud,sw,sim_swap_attempt,batch10_ai,2026-06-26
Your line shows an active SIM swap process initiated remotely. Send your PIN to 0745112288 to cancel the request immediately.,fraud,en,sim_swap_attempt,batch10_ai,2026-06-26
"niaje buda, namba yako iko risk ya kuhamishwa leo, tuma PIN kwa 0712445566 ndio tucancel kabla mtu mwingine apate control",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-26
"Habari, kuna ombi la kubadilisha SIM ya namba yako lililotumwa kutoka simu nyingine. Tuma PIN sasa kwa 0789221166 kuzuia.",fraud,sw,sim_swap_attempt,batch10_ai,2026-06-26
Your number is being processed for a SIM transfer to a different device. Block this by sending your PIN to 0701556644 now.,fraud,en,sim_swap_attempt,batch10_ai,2026-06-26
"buda system imeona SIM swap request kwa namba yako, tuma PIN kwa namba 0745667799 ndio tumstop huyo bila kuchelewa",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-26
Tahadhari kutoka Safaricom: Namba yako iko kwenye orodha ya kubadilishwa SIM leo. Tuma PIN yako kwa 0712889944 sasa.,fraud,sw,sim_swap_attempt,batch10_ai,2026-06-26
Your SIM has triggered a security flag due to an unauthorized swap attempt. Send your PIN to 0701998833 to resolve this now.,fraud,en,sim_swap_attempt,batch10_ai,2026-06-26
"mse kuna SIM swap inayoendelea kwa namba yako, tuma PIN kwa 0734221188 ndio system iisitishe kabla ikamilike",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-26
"Habari mteja, ombi la SIM mpya kwa namba yako limepokelewa kutoka eneo tofauti. Tuma PIN kwa namba 0745998822 sasa.",fraud,sw,sim_swap_attempt,batch10_ai,2026-06-26
Notice: Your number is flagged for a SIM swap initiated outside your usual location. Send your PIN to 0712556677 to cancel it.,fraud,en,sim_swap_attempt,batch10_ai,2026-06-26
"buda hii ni warning ya SIM swap, kama si wewe tuma PIN kwa namba 0701445599 mapema kabla mtu apate access kamili",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-26
Tahadhari: Tumepokea jaribio la kuhamisha namba yako kwa SIM nyingine leo jioni. Tuma PIN kwa 0789112277 kuzuia.,fraud,sw,sim_swap_attempt,batch10_ai,2026-06-26
Your account shows a pending SIM replacement request from an unrecognized source. Send your PIN to 0745889933 to stop it.,fraud,en,sim_swap_attempt,batch10_ai,2026-06-26
"niaje msee, kuna mtu anatry kuhack namba yako kupitia SIM swap, tuma PIN kwa 0712998811 sasa ndio tumblock",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-26
"Habari, namba yako imewekwa kwenye mchakato wa kubadilishwa SIM bila idhini yako. Tuma PIN kwa namba 0701776644 sasa.",fraud,sw,sim_swap_attempt,batch10_ai,2026-06-26
"Your SIM swap request is being processed. If you didn't initiate this, send your PIN to 0734667733 immediately to cancel.",fraud,en,sim_swap_attempt,batch10_ai,2026-06-26
"buda kuna SIM mpya inarequest namba yako, tuma PIN kwa namba 0745221177 ndio tusort hii issue kabla ichelewe",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-26
Tahadhari kutoka M-Pesa: SIM yako iko hatarini kuhamishwa leo. Tuma PIN yako kwa namba 0712334466 sasa kuzuia upotevu.,fraud,sw,sim_swap_attempt,batch10_ai,2026-06-26
Your line has an active port-out request to another carrier. Cancel this unauthorized transfer by sending your PIN to 0701998811.,fraud,en,sim_swap_attempt,batch10_ai,2026-06-26
"mzee namba yako iko kwenye hatari ya kuporotiwa leo, tuma PIN kwa 0789556633 sasa hivi kabla mtu mwingine apate access",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-26
"Habari mteja, kwa mujibu wa sheria mpya za CBK, lazima usasishe taarifa zako za KYC ndani ya masaa 24 au huduma zako zitasimamishwa. Tembelea link hii.",fraud,sw,fake_kyc_update,batch11_ai,2026-06-26
Central Bank directive: All mobile money accounts must update KYC details within 48 hours or face suspension. Visit cbk-kyc-portal.com now.,fraud,en,fake_kyc_update,batch11_ai,2026-06-26
"buda kuna directive mpya ya CBK kuhusu KYC, update details zako leo kwa link hii kabla account ifungwe",fraud,sheng,fake_kyc_update,batch11_ai,2026-06-26
"Tahadhari kutoka Communications Authority: Wateja wote wanahitajika kuthibitisha taarifa za KYC. Tuma jina, ID, na PIN kwa 0712334455.",fraud,sw,fake_kyc_update,batch11_ai,2026-06-26
"As per new CA regulations, your line requires updated KYC information. Send your full name, ID number, and PIN to 0745998822 today.",fraud,en,fake_kyc_update,batch11_ai,2026-06-26
"mse kuna sheria mpya ya KYC, lazima utume details zako kwa namba 0701887744 kabla mtandao ifunge account yako",fraud,sheng,fake_kyc_update,batch11_ai,2026-06-26
"Habari mteja, M-Pesa imepokea agizo la serikali kuhusu KYC. Tuma ID number na PIN yako kwa 0789556699 ndani ya saa 24.",fraud,sw,fake_kyc_update,batch11_ai,2026-06-26
Mandatory KYC Update: Your mobile money account will be frozen unless you confirm your details at safaricom-kyc-confirm.com today.,fraud,en,fake_kyc_update,batch11_ai,2026-06-26
"buda hii ni serious, CBK imeagiza KYC update kwa wote, tuma ID na PIN kwa 0712445599 leo bila kuchelewa",fraud,sheng,fake_kyc_update,batch11_ai,2026-06-26
"Tahadhari: Kwa mujibu wa kanuni mpya za fedha, akaunti yako inahitaji uthibitisho wa KYC. Tuma maelezo kwa namba 0734667722.",fraud,sw,fake_kyc_update,batch11_ai,2026-06-26
Notice: Failure to complete your KYC verification by tonight will result in your mobile wallet being permanently disabled.,fraud,en,fake_kyc_update,batch11_ai,2026-06-26
"niaje msee, kuna KYC verification inayohitajika leo, tuma jina lako, ID, na PIN kwa namba 0701223399 sasa hivi",fraud,sheng,fake_kyc_update,batch11_ai,2026-06-26
"Habari, Mamlaka ya Mawasiliano imetangaza wateja wote lazima wathibitishe taarifa za KYC. Tuma ID number kwa 0745889922 leo.",fraud,sw,fake_kyc_update,batch11_ai,2026-06-26
Your account requires immediate KYC compliance update as per the latest financial regulations. Reply with your ID and PIN to 0712998877.,fraud,en,fake_kyc_update,batch11_ai,2026-06-26
"buda kuna update ya lazima ya KYC kwa account yako, fungua link hii sasa kabla iclose access yako kabisa",fraud,sheng,fake_kyc_update,batch11_ai,2026-06-26
Tahadhari kutoka M-Shwari: Sheria mpya inahitaji uthibitisho wa KYC kwa wateja wote. Tuma taarifa kwa namba 0789221144 leo.,fraud,sw,fake_kyc_update,batch11_ai,2026-06-26
Important: Your mobile money services will be suspended due to incomplete KYC records. Update now at mpesa-kyc-verify.com today.,fraud,en,fake_kyc_update,batch11_ai,2026-06-26
"mzee CBK imeagiza wote kufanya KYC update leo, tuma ID na jina lako kwa namba 0701556633 kabla deadline ipite",fraud,sheng,fake_kyc_update,batch11_ai,2026-06-26
"Habari mteja, kuna mahitaji mapya ya kisheria ya KYC kwa akaunti zote za M-Pesa. Sasisha sasa kwa link hii kabla saa sita.",fraud,sw,fake_kyc_update,batch11_ai,2026-06-26
"As mandated by the regulator, your account needs KYC re-verification today. Send your national ID details to 0745112277 now.",fraud,en,fake_kyc_update,batch11_ai,2026-06-26
"buda hii ni from CA, KYC verification ni lazima leo, tuma details zako kwa namba 0712889933 mapema",fraud,sheng,fake_kyc_update,batch11_ai,2026-06-26
"Tahadhari: Akaunti yako itasimamishwa kwa sababu ya KYC isiyo kamili. Tuma jina, namba ya kitambulisho, na PIN kwa 0734556688.",fraud,sw,fake_kyc_update,batch11_ai,2026-06-26
Your KYC profile has expired according to new banking regulations. Renew it now by sending your ID and PIN to 0701776655.,fraud,en,fake_kyc_update,batch11_ai,2026-06-26
"niaje buda, kuna deadline ya KYC leo saa tisa, kama hujaupdate account yako itafungwa moja kwa moja kesho",fraud,sheng,fake_kyc_update,batch11_ai,2026-06-26
"Habari mteja, Benki Kuu ya Kenya imetoa agizo la kuthibitisha KYC kwa wote. Tuma maelezo yako binafsi kwa namba 0745667711.",fraud,sw,fake_kyc_update,batch11_ai,2026-06-26
Final KYC Notice: Your wallet will be deactivated tonight unless you verify your identity at mpesa-kyc-final.com immediately.,fraud,en,fake_kyc_update,batch11_ai,2026-06-26
"buda kuna update ya KYC inahitajika sasa, fungua link hii kabla mtandao ikufungie account yako kabisa leo",fraud,sheng,fake_kyc_update,batch11_ai,2026-06-26
"Tahadhari kutoka Safaricom: Kwa mujibu wa kanuni za KRA, akaunti yako inahitaji uthibitisho wa KYC leo. Tuma ID kwa 0789112255.",fraud,sw,fake_kyc_update,batch11_ai,2026-06-26
Your line is non-compliant with current KYC standards. Send your full details and PIN to 0712334477 to avoid service interruption.,fraud,en,fake_kyc_update,batch11_ai,2026-06-26
"mse kuna directive mpya ya KYC, tuma jina lako kamili na ID number kwa namba 0701998822 kabla saa sita usiku",fraud,sheng,fake_kyc_update,batch11_ai,2026-06-26
