error_type,message_text,true_label,fraud_category,triggered_rules
FALSE_NEGATIVE (missed a real scam),"buda kuna error report kwa SIM yako, lazima uconfirm na PIN kwa 0734998866 ndio system isikamilishe huo uhamisho",fraud,sim_swap_attempt,
FALSE_NEGATIVE (missed a real scam),Your SIM card status shows a pending transfer initiated from another device. Cancel by sending your PIN to 0789556677 now.,fraud,sim_swap_attempt,
FALSE_NEGATIVE (missed a real scam),Your number is being processed for a SIM transfer to a different device. Block this by sending your PIN to 0701556644 now.,fraud,sim_swap_attempt,
FALSE_NEGATIVE (missed a real scam),Your line has an active port-out request to another carrier. Cancel this unauthorized transfer by sending your PIN to 0701998811.,fraud,sim_swap_attempt,
FALSE_NEGATIVE (missed a real scam),"mse kuna sheria mpya ya KYC, lazima utume details zako kwa namba 0701887744 kabla mtandao ifunge account yako",fraud,fake_kyc_update,
FALSE_NEGATIVE (missed a real scam),Notice: Failure to complete your KYC verification by tonight will result in your mobile wallet being permanently disabled.,fraud,fake_kyc_update,
FALSE_NEGATIVE (missed a real scam),Your account has been flagged for incomplete KYC documentation. Submit your ID details to 0712667744 to restore full access.,fraud,fake_kyc_update,
FALSE_NEGATIVE (missed a real scam),Notice: New financial regulations require your account to complete KYC by midnight or risk permanent account closure.,fraud,fake_kyc_update,
FALSE_NEGATIVE (missed a real scam),"buda hii ni mandatory KYC leo, kama hujamalizia by tonight watakufungia account yako moja kwa moja",fraud,fake_kyc_update,
FALSE_NEGATIVE (missed a real scam),"Your application has been approved for a Ksh120,000 government education grant. Send Ksh650 verification fee to 0745889922 now.",fraud,fake_scholarship,
FALSE_NEGATIVE (missed a real scam),"You qualify for a Ksh175,000 scholarship sponsored by the European Union Education Fund. Send Ksh950 fee to 0701556633 to proceed.",fraud,fake_scholarship,
FALSE_NEGATIVE (missed a real scam),"You have been awarded a Ksh100,000 sponsorship for college fees from an anonymous donor. Send Ksh600 fee to 0712998855 to proceed.",fraud,fake_scholarship,
FALSE_NEGATIVE (missed a real scam),"You qualify for a Ksh165,000 graduate research scholarship from a foreign university. Send Ksh850 verification fee to 0701998833.",fraud,fake_scholarship,
FALSE_NEGATIVE (missed a real scam),"Your name has been picked for a Ksh230,000 international scholarship sponsored by a private donor. Send Ksh1,150 fee to 0712556677.",fraud,fake_scholarship,
FALSE_NEGATIVE (missed a real scam),"Habari, jiunge na mfumo wetu wa uwekezaji na upate mara mbili pesa yako ndani ya siku 7. Tuma Ksh2,000 kwa namba 0712334455 leo.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"Habari mteja, mfumo wetu wa Bitcoin unakupa fursa ya kupata Ksh50,000 kutoka Ksh5,000. Tuma kwa namba 0789556699 sasa.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"mse kuna group ya forex inayolipa kila siku, weka Ksh1,000 upate Ksh3,000, tuma kwa namba 0734667722 leo bro",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"Limited slots available in our forex signal group. Deposit Ksh3,200 today and withdraw double tomorrow. Send to 0701556633 now.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"Habari, jiunge na mtandao wetu wa uwekezaji wa fedha za kigeni. Weka Ksh2,200 leo upate Ksh6,600 baada ya siku tano, tuma 0712889933.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"Habari, fursa ya kipekee ya kuwekeza kwenye fedha za kidijitali inakuhakikishia faida kubwa. Tuma Ksh3,900 kwa namba 0701998822.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"Get rich quick with our online trading academy. Deposit Ksh4,500 and earn Ksh13,500 within 4 days. Send to 0745221199 now.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"Habari mteja, mfumo wetu wa uwekezaji wa mtandaoni unakupa marudio ya mara nne ya pesa yako. Tuma Ksh1,700 kwa namba 0712667744.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"Our forex mentorship program guarantees 250% returns in one week. Pay the Ksh2,900 enrollment fee to 0789556677 to join today.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"Habari, jiunge na kampuni yetu ya kuwekeza fedha kwa miradi ya kilimo. Weka Ksh2,400 leo upate Ksh7,200, tuma 0745889911.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"niaje msee, kuna group ya forex inayolipa double leo, weka Ksh1,600 kwa namba 0712445566 ndio upate faida sasa",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"Habari, mtandao wetu wa uwekezaji wa pesa za kidijitali umelipa wateja wengi mara tatu. Weka Ksh2,700 kwa namba 0789221166.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"Our exclusive forex robot trades for you and guarantees Ksh10,000 from a Ksh2,000 deposit within 3 days. Send to 0701998833.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"Habari, jiunge na fursa yetu ya kuwekeza kwenye dhahabu na almasi. Weka Ksh2,300 leo upate Ksh6,900, tuma 0745998822.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"Our high-yield savings circle pays 350% returns within 6 days. Send your initial deposit of Ksh4,200 to 0712556677 now.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"buda hii ni trading academy ya online, weka Ksh1,750 upate Ksh5,250 leo, tuma pesa kwa namba 0701445599 sasa",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"Our crypto referral program rewards you 5x your deposit within a week. Send Ksh1,950 to 0745889933 to activate your account.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"Habari, kampuni yetu ya uwekezaji wa fedha za kidijitali imewalipia wateja milioni nyingi. Weka Ksh3,800 kwa namba 0701776644.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"Our private equity fund offers guaranteed 200% returns this month only. Deposit Ksh5,000 today by sending it to 0734667733.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"Habari mteja, mfumo wetu wa kuwekeza kwenye fedha za kigeni unakupa faida ya mara nne. Tuma Ksh2,450 kwa namba 0712334466.",fraud,fake_investment_scheme,
FALSE_NEGATIVE (missed a real scam),"buda kuna deni la zamani la Ksh3,800 kwenye Branch app yako, lipa kwa namba 0701887744 leo kabla CRB ikuandike",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Tahadhari kutoka Zenka: Akaunti yako ina deni lisilolipwa la Ksh5,500. Lipa kwa namba 0789556699 ndani ya masaa 24 kuepuka CRB.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"This is a final reminder from our debt collection unit. Your unpaid loan balance of Ksh7,800 must be cleared by 0712445599 today.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"mse hii ni CRB department, deni lako la Ksh2,900 limechelewa, lipa kwa namba 0734667722 leo kabla yaongezeka penalty",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Habari mteja, mkopo wako wa Okoa Jahazi una deni la Ksh3,200 lisilolipwa. Lipa kwa namba 0701223399 leo kabla hatua kuchukuliwa.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Tahadhari: Mkopo wako kupitia Hustler Fund haukutimizwa, deni la Ksh2,650 limesalia. Lipa kwa namba 0789221144 sasa.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"niaje buda, M-Koba imekuripoti deni la Ksh3,450 lisilolipwa, lipa kwa namba 0745112277 leo kabla kesi kuanza",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Habari mteja, kuna deni la Ksh5,900 kwenye akaunti yako ya Timiza ambalo halijalipwa kwa miezi miwili. Lipa kwa 0712889933.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Final demand letter: Your Branch app loan of Ksh8,300 is overdue. Settle it today by sending to 0734556688 to avoid court action.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"buda kuna outstanding balance ya Ksh4,650 kwenye loan yako ya Zenka, lipa kwa namba 0701776655 leo bila kuchelewa",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Tahadhari kutoka M-Pawa: Mkopo wako wa TZS150,000 una deni lisilolipwa. Lipa TZS9,000 kwa namba 0676998811 leo.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"mzee hii ni CRB warning, deni lako la zamani la Ksh3,950 lazima ulipie kwa namba 0712334477 leo before listing",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Habari mteja, mkopo wako wa Tala una salio lisilolipwa la Ksh4,800. Lipa kwa namba 0701998822 leo kabla kuwekwa CRB.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"buda kuna debt ya Hustler Fund Ksh2,750 ambayo bado halipwi, lipa kwa namba 0734998866 leo kabla penalty iongezeke",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Tahadhari: Mkopo wako wa Okoa Jahazi unaonyesha deni la Ksh3,600 lisilolipwa kwa muda mrefu. Lipa kwa namba 0712667744.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Reminder: Your overdue Saccos loan balance of Ksh6,400 must be paid today to 0789556677 or your guarantor will be contacted.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"niaje msee, kuna outstanding loan ya Ksh5,250 kwenye Branch app yako, lipa kwa namba 0701445588 leo bila kuchelewa",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Habari mteja, kuna deni la Ksh4,300 kwenye akaunti yako ya M-Shwari ambalo halijalipwa kwa wiki tatu. Lipa kwa 0745889911.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Notice: Your loan account with Fuliza shows a balance of Ksh8,900 overdue. Pay it today via 0712998855 to avoid CRB listing.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"buda kuna deni la zamani kwenye Timiza ya Ksh3,150, lipa kwa namba 0734556699 leo kabla wakuripoti CRB",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Your loan with our partner Tala has defaulted with a balance of Ksh5,650. Settle it now via 0745112288 to avoid blacklisting.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"mse kuna debt collection notice kwa M-Koba loan yako, Ksh4,950 inahitajika kulipwa kwa namba 0712445566 leo",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Habari mteja, mkopo wako wa Zenka una deni la Ksh6,100 ambalo halijalipwa. Lipa kwa namba 0789221166 leo kabla CRB.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Final notice: Your unpaid Hustler Fund balance of Ksh3,400 will be escalated to legal action unless paid to 0701556644 today.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"buda kuna deni la Branch app ambalo limechelewa Ksh2,850, lipa kwa namba 0745667799 leo kabla yaongezeka",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Tahadhari: Loan yako ya Okoa Jahazi ina deni la Ksh5,400 lisilolipwa kwa miezi miwili. Lipa kwa namba 0712889944 leo.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Your debt recovery case for Ksh9,800 is now active. Settle the balance today via 0701998833 to avoid further consequences.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"niaje buda, hii ni CRB collection agency, deni lako la Ksh4,050 lazima ulipie kwa namba 0734221188 leo bila kuchelewa",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Habari mteja, mkopo wako wa Timiza una deni la Ksh6,950 ambalo limechelewa kwa muda mrefu. Lipa kwa namba 0745998822.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Notice: Your loan account balance of Ksh7,250 is overdue and at risk of legal escalation. Pay now to 0712556677 to settle.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"buda kuna outstanding debt ya Ksh3,700 kwenye Fuliza yako, lipa kwa namba 0701445599 leo kabla penalty kuongezeka",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Tahadhari kutoka Zenka: Mkopo wako una deni la Ksh5,150 ambalo halijalipwa kwa wiki nne. Lipa kwa namba 0789112277 leo.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"niaje msee, kuna deni la M-Pawa TZS80,000 ambalo halijalipwa, lipa TZS6,500 kwa namba 0653998877 leo",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Habari, kuna deni la zamani kwenye akaunti yako ya Hustler Fund Ksh4,450 ambalo halijalipwa. Lipa kwa namba 0701776644.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Final demand: Your Saccos loan default of Ksh6,800 risks legal seizure of property unless settled via 0734667733 today.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"buda kuna debt notice kwenye Tala app yako Ksh3,300, lipa kwa namba 0745221177 leo kabla wakuripoti CRB",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Tahadhari: Mkopo wako wa Branch una deni la Ksh5,800 lisilolipwa kwa zaidi ya mwezi mmoja. Lipa kwa namba 0712334466.",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"mzee kuna deni la zamani kwenye M-Shwari yako Ksh4,150, lipa kwa namba 0789556633 leo kabla penalty kuongezeka",fraud,fake_debt_collection,
FALSE_NEGATIVE (missed a real scam),"Habari, mimi ni Mkaguzi wa NEMA, kiwanda chako kimekiuka sheria za mazingira. Lipa faini ya Ksh8,500 kwa namba 0745667711.",fraud,fake_authority_extortion,
FALSE_NEGATIVE (missed a real scam),"This is the Drug Enforcement Unit, your number was linked to a reported case. Pay Ksh7,000 to 0745221199 to clear your name.",fraud,fake_authority_extortion,
FALSE_NEGATIVE (missed a real scam),"This is the City Council Inspectorate, your shop license has violations totaling Ksh4,900. Pay now to 0789556677 to avoid closure.",fraud,fake_authority_extortion,
FALSE_NEGATIVE (missed a real scam),"This is the Liquor Licensing Board, your bar permit shows unpaid penalties of Ksh7,400. Pay to 0701556644 to avoid closure today.",fraud,fake_authority_extortion,
FALSE_NEGATIVE (missed a real scam),"buda hii ni Idara ya Forodha, vifaa vyako vimekamatwa airport, lipa Ksh10,000 kwa namba 0745667799 leo kabla kuharibiwa",fraud,fake_authority_extortion,
FALSE_NEGATIVE (missed a real scam),"This is the County Revenue Office, your land has unpaid rates totaling Ksh8,800. Pay now to 0701998833 to avoid auction notice.",fraud,fake_authority_extortion,
FALSE_NEGATIVE (missed a real scam),"This is the Wildlife Service, your land borders a protected area with violations. Pay the Ksh5,200 fine to 0712556677 today.",fraud,fake_authority_extortion,
FALSE_NEGATIVE (missed a real scam),"This is the Building Inspectorate, your construction site has safety violations totaling Ksh6,650. Pay now to 0734667733 today.",fraud,fake_authority_extortion,
FALSE_NEGATIVE (missed a real scam),"This is the Fisheries Department, your boat operation has unpaid licensing fees of Ksh3,900. Pay now to 0701998811 to continue.",fraud,fake_authority_extortion,
FALSE_NEGATIVE (missed a real scam),"Dear friend, I am a chaplain at Naivasha Prison helping a dying inmate transfer his wealth. Call 0789112255 to discuss further.",fraud,prisoner_inheritance_scam,
FALSE_NEGATIVE (missed a real scam),"Hello, I am handling the estate of a deceased inmate from Kodiaga who named you as beneficiary. Call 0745221199 for full details.",fraud,prisoner_inheritance_scam,
FALSE_NEGATIVE (missed a real scam),"Habari, mimi ni Daktari kutoka Kamiti Hospital, mfungwa mmoja amefariki na ameacha gari na nyumba kwa wewe. Piga 0712667744.",fraud,prisoner_inheritance_scam,
FALSE_NEGATIVE (missed a real scam),"Habari, hii ni siri kati yetu, mfungwa mmoja Kamiti ana fedha za kigeni anataka kuzihifadhi kwako. Piga 0745889911 leo.",fraud,prisoner_inheritance_scam,
FALSE_NEGATIVE (missed a real scam),"This is the deputy chaplain at Kamiti, a dying inmate has requested I find you to inherit his property. Call 0745112288 now.",fraud,prisoner_inheritance_scam,
