message_text,label,language,fraud_category,source,date_collected
"Habari, jiunge na mfumo wetu wa uwekezaji na upate mara mbili pesa yako ndani ya siku 7. Tuma Ksh2,000 kwa namba 0712334455 leo.",fraud,sw,fake_investment_scheme,batch14_ai,2026-06-23
"Double your money in 7 days with our forex trading group. Send Ksh3,000 to 0745998822 to start earning daily profits immediately.",fraud,en,fake_investment_scheme,batch14_ai,2026-06-23
"buda hii ni investment ya crypto, weka Ksh1,500 leo upate Ksh4,500 ndani ya wiki, tuma kwa namba 0701887744",fraud,sheng,fake_investment_scheme,batch14_ai,2026-06-23
"Habari mteja, mfumo wetu wa Bitcoin unakupa fursa ya kupata Ksh50,000 kutoka Ksh5,000. Tuma kwa namba 0789556699 sasa.",fraud,sw,fake_investment_scheme,batch14_ai,2026-06-23
"Join our investment club today and turn Ksh2,500 into Ksh10,000 within 3 days. Send your starting capital to 0712445599 now.",fraud,en,fake_investment_scheme,batch14_ai,2026-06-23
"mse kuna group ya forex inayolipa kila siku, weka Ksh1,000 upate Ksh3,000, tuma kwa namba 0734667722 leo bro",fraud,sheng,fake_investment_scheme,batch14_ai,2026-06-23
"Habari, kampuni yetu ya uwekezaji wa hisa inakupa fursa ya kupata faida ya 200% ndani ya wiki moja. Tuma Ksh3,500 kwa 0701223399.",fraud,sw,fake_investment_scheme,batch14_ai,2026-06-23
"Our crypto trading bot guarantees 150% returns in 48 hours. Invest Ksh4,000 today by sending it to 0745889922 to get started.",fraud,en,fake_investment_scheme,batch14_ai,2026-06-23
"buda mfumo wetu wa pyramid unalipa kila wiki, jiunge na Ksh1,200 upate marudio ya 5x, tuma kwa namba 0712998877",fraud,sheng,fake_investment_scheme,batch14_ai,2026-06-23
"Habari mteja, fursa ya uwekezaji wa dhahabu inakupa faida ya haraka. Weka Ksh2,800 leo upate Ksh8,400 ndani ya siku tatu, tuma 0789221144.",fraud,sw,fake_investment_scheme,batch14_ai,2026-06-23
"Limited slots available in our forex signal group. Deposit Ksh3,200 today and withdraw double tomorrow. Send to 0701556633 now.",fraud,en,fake_investment_scheme,batch14_ai,2026-06-23
"niaje msee, kuna investment ya online trading inayolipa mara tatu, tuma Ksh1,800 kwa namba 0745112277 leo leo",fraud,sheng,fake_investment_scheme,batch14_ai,2026-06-23
"Habari, jiunge na mtandao wetu wa uwekezaji wa fedha za kigeni. Weka Ksh2,200 leo upate Ksh6,600 baada ya siku tano, tuma 0712889933.",fraud,sw,fake_investment_scheme,batch14_ai,2026-06-23
"Our exclusive Bitcoin mining pool is offering 300% returns this week only. Invest now by sending Ksh5,500 to 0734556688.",fraud,en,fake_investment_scheme,batch14_ai,2026-06-23
"buda hii ni binary options trading, weka Ksh1,500 upate Ksh4,500 leo, tuma pesa kwa namba 0701776655 sasa hivi",fraud,sheng,fake_investment_scheme,batch14_ai,2026-06-23
"Habari mteja, mfumo wetu wa kuwekeza kwenye hisa za kimataifa unakupa faida ya haraka. Tuma Ksh2,600 kwa namba 0745667711.",fraud,sw,fake_investment_scheme,batch14_ai,2026-06-23
"Join the fastest growing investment group in Kenya and earn Ksh15,000 from a Ksh3,000 deposit. Send it to 0789112255 today.",fraud,en,fake_investment_scheme,batch14_ai,2026-06-23
"mzee kuna group ya investment inayolipa daily, weka Ksh800 upate Ksh2,400, tuma kwa namba 0712334477 leo bro asante",fraud,sheng,fake_investment_scheme,batch14_ai,2026-06-23
"Habari, fursa ya kipekee ya kuwekeza kwenye fedha za kidijitali inakuhakikishia faida kubwa. Tuma Ksh3,900 kwa namba 0701998822.",fraud,sw,fake_investment_scheme,batch14_ai,2026-06-23
"Get rich quick with our online trading academy. Deposit Ksh4,500 and earn Ksh13,500 within 4 days. Send to 0745221199 now.",fraud,en,fake_investment_scheme,batch14_ai,2026-06-23
"buda hii investment ya gold trading inalipa kila siku, weka Ksh2,000 leo upate Ksh6,000, tuma kwa namba 0734998866",fraud,sheng,fake_investment_scheme,batch14_ai,2026-06-23
"Habari mteja, mfumo wetu wa uwekezaji wa mtandaoni unakupa marudio ya mara nne ya pesa yako. Tuma Ksh1,700 kwa namba 0712667744.",fraud,sw,fake_investment_scheme,batch14_ai,2026-06-23
"Our forex mentorship program guarantees 250% returns in one week. Pay the Ksh2,900 enrollment fee to 0789556677 to join today.",fraud,en,fake_investment_scheme,batch14_ai,2026-06-23
"niaje buda, kuna trading group inayolipa kila wiki mara tatu, weka Ksh1,300 kwa namba 0701445588 leo leo",fraud,sheng,fake_investment_scheme,batch14_ai,2026-06-23
"Habari, jiunge na kampuni yetu ya kuwekeza fedha kwa miradi ya kilimo. Weka Ksh2,400 leo upate Ksh7,200, tuma 0745889911.",fraud,sw,fake_investment_scheme,batch14_ai,2026-06-23
"This week only: our crypto arbitrage system offers guaranteed profits of 400%. Deposit Ksh6,000 today by sending to 0712998855.",fraud,en,fake_investment_scheme,batch14_ai,2026-06-23
"buda hii ni stock trading bot inayolipa kila siku, weka Ksh1,900 upate Ksh5,700, tuma pesa kwa namba 0734556699 leo",fraud,sheng,fake_investment_scheme,batch14_ai,2026-06-23
"Habari mteja, mfumo wetu wa kuwekeza fedha kwenye mali isiyohamishika unakupa faida ya haraka. Tuma Ksh3,300 kwa 0701887766.",fraud,sw,fake_investment_scheme,batch14_ai,2026-06-23
"Our investment circle pays members weekly returns of 5x their deposit. Send your starting amount of Ksh2,100 to 0745112288.",fraud,en,fake_investment_scheme,batch14_ai,2026-06-23
"niaje msee, kuna group ya forex inayolipa double leo, weka Ksh1,600 kwa namba 0712445566 ndio upate faida sasa",fraud,sheng,fake_investment_scheme,batch14_ai,2026-06-23
