message_text,label,language,fraud_category,source,date_collected
"TGH3K9XRA Confirmed. Ksh1,200.00 paid to DSTV KENYA for account 7723109 on 23/6/26 at 9:15 AM. New M-PESA balance is Ksh890.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch13,2026-06-23
"QML7P2NRA Confirmed. Ksh800.00 paid to ZUKU TV for account 998877 on 23/6/26 at 10:40 AM. New M-PESA balance is Ksh1,330.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch13,2026-06-23
"Imethibitishwa. Ksh650.00 imelipwa kwa GOTV KENYA Acc 819234 tarehe 23/6/26 saa 11:05. Salio jipya ni Ksh1,210.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch13,2026-06-23
"RKT4Q9WRA Confirmed. Ksh1,500.00 paid to AZAM TV for account 334455 on 23/6/26 at 1:20 PM. New M-PESA balance is Ksh2,940.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch13,2026-06-23
"NHX8M3LRA Confirmed. Ksh990.00 paid to STARTIMES for account 442109 on 23/6/26 at 2:45 PM. New M-PESA balance is Ksh615.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch13,2026-06-23
"Imethibitishwa. Ksh2,500.00 imelipwa kwa DSTV PREMIUM Acc 887765 tarehe 23/6/26 saa 8:30. Salio jipya ni Ksh1,850.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch13,2026-06-23
"OPZ5R7XRA Confirmed. Ksh400.00 paid to GOTV LITE for account 220981 on 23/6/26 at 3:10 PM. New M-PESA balance is Ksh605.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch13,2026-06-23
"FGL2K9YRA Confirmed. Ksh1,800.00 paid to ZUKU FIBER TV for account 661102 on 23/6/26 at 12:55 PM. New M-PESA balance is Ksh2,940.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch13,2026-06-23
"Imethibitishwa. Ksh700.00 imelipwa kwa STARTIMES BASIC Acc 110982 tarehe 23/6/26 saa 7:45. Salio jipya ni Ksh410.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch13,2026-06-23
"DHK4M8NRA Confirmed. Ksh3,200.00 paid to DSTV COMPACT PLUS for account 778120 on 23/6/26 at 4:25 PM. New M-PESA balance is Ksh1,330.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch13,2026-06-23
"WLN9P2KRA Confirmed. Ksh550.00 paid to AZAM TV BASIC for account 887234 on 23/6/26 at 9:50 AM. New M-PESA balance is Ksh930.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch13,2026-06-23
"Imethibitishwa. Ksh1,100.00 imelipwa kwa GOTV PLUS Acc 119283 tarehe 23/6/26 saa 11:30. Salio jipya ni Ksh1,420.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch13,2026-06-23
"JBM6T1ZRA Confirmed. Ksh900.00 paid to ZUKU TV for account 220031 on 23/6/26 at 2:15 PM. New M-PESA balance is Ksh615.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch13,2026-06-23
"YGT3K9MRA Confirmed. Ksh2,000.00 paid to DSTV ACCESS for account 887654 on 23/6/26 at 5:00 PM. New M-PESA balance is Ksh820.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch13,2026-06-23
"Imethibitishwa. Ksh450.00 imelipwa kwa STARTIMES CLASSIC Acc 220198 tarehe 23/6/26 saa 6:20. Salio jipya ni Ksh1,140.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch13,2026-06-23
"VKQ8R4NRA Confirmed. Ksh1,250.00 paid to GOTV SUPA for account 887123 on 23/6/26 at 8:05 AM. New M-PESA balance is Ksh1,980.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch13,2026-06-23
"ZWQ7M2PRA Confirmed. Ksh3,500.00 paid to DSTV PREMIUM for account 332190 on 23/6/26 at 13:40. New M-PESA balance is Ksh1,250.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch13,2026-06-23
