message_text,label,language,fraud_category,source,date_collected
"Mpenzi, nimekwama airport hapa Dubai, customs wanataka Ksh15,000 ili waniruhusu nipite na zawadi niliyokuletea. Tuma kwa namba 0712334455.",fraud,sw,romance_scam,batch23_ai,2026-06-23
"My love, I'm stuck at customs in London, they need $200 to release the gift package I sent you. Please send to 0745998822 today.",fraud,en,romance_scam,batch23_ai,2026-06-23
"baby nimekwama hospitalini hapa Nigeria, daktari anataka Ksh8,000 kabla ananitendea, tuma kwa namba 0701887744 tafadhali",fraud,sheng,romance_scam,batch23_ai,2026-06-23
"Mpenzi wangu, ndege yangu ya kukuja Kenya imecancel, naomba unitumie Ksh20,000 kulipa ticket mpya kwa namba 0789556699.",fraud,sw,romance_scam,batch23_ai,2026-06-23
"Honey, I need $300 urgently to pay for my visa processing so I can finally come visit you. Send it to 0712445599 today please.",fraud,en,romance_scam,batch23_ai,2026-06-23
"baby nataka kukutumia zawadi ya dhahabu kutoka Dubai lakini napaswa kulipa shipping ya Ksh6,500 kwa namba 0734667722.",fraud,sheng,romance_scam,batch23_ai,2026-06-23
"Mpenzi, kuna emergency kazi yangu hapa Qatar, naomba unitumie Ksh12,000 nikilipa deni dogo kwa namba 0701223399 leo.",fraud,sw,romance_scam,batch23_ai,2026-06-23
"My dear, I was robbed while traveling and lost all my money. Please send $150 to 0745889922 so I can pay my hotel bill tonight.",fraud,en,romance_scam,batch23_ai,2026-06-23
"baby naomba unitumie Ksh9,500 kwa sababu pesa yangu imefungiwa benki hapa Canada, tuma kwa namba 0712998877 leo.",fraud,sheng,romance_scam,batch23_ai,2026-06-23
"Mpenzi wangu, nimekwama Turkey kwa sababu ya tatizo la passport, naomba Ksh18,000 ya kusort haraka kwa namba 0789221144.",fraud,sw,romance_scam,batch23_ai,2026-06-23
"Sweetheart, the package I sent with jewelry is stuck at the airport, send $250 customs fee to 0701556633 to release it now.",fraud,en,romance_scam,batch23_ai,2026-06-23
"baby naomba msaada wa Ksh7,000 kwa sababu nimepoteza wallet yangu hapa Italy, tuma kwa namba 0745112277 leo tafadhali.",fraud,sheng,romance_scam,batch23_ai,2026-06-23
"Mpenzi, ninataka kukuoa lakini kwanza naomba unitumie Ksh25,000 kulipa deni la kazi yangu hapa Marekani, namba 0712889933.",fraud,sw,romance_scam,batch23_ai,2026-06-23
"My love, my bank account here in the US is frozen, please send $180 to 0734556688 so I can survive until it's resolved.",fraud,en,romance_scam,batch23_ai,2026-06-23
"baby kuna emergency hospitalini, mtoto wangu mgonjwa hapa UK, naomba Ksh14,500 kwa namba 0701776655 leo bila kuchelewa.",fraud,sheng,romance_scam,batch23_ai,2026-06-23
"Mpenzi wangu, naomba unitumie Ksh10,000 nikilipa fees ya kuhamishia pesa yangu kutoka Saudi kwenda Kenya, namba 0745667711.",fraud,sw,romance_scam,batch23_ai,2026-06-23
"Darling, I need $220 to pay an urgent court fee here in Germany before I can travel to see you. Send it to 0789112255.",fraud,en,romance_scam,batch23_ai,2026-06-23
"baby naomba msaada haraka, nimekamatwa border hapa Tanzania kwa kosa la documents, tuma Ksh11,500 kwa namba 0712334477.",fraud,sheng,romance_scam,batch23_ai,2026-06-23
"Mpenzi, naomba unitumie Ksh16,000 kulipa hospital bill ya mtoto wetu wa pamoja hapa Australia, namba 0701998822.",fraud,sw,romance_scam,batch23_ai,2026-06-23
"My heart, my luggage with all our wedding gifts is held by airport security. Send $190 release fee to 0745221199 today.",fraud,en,romance_scam,batch23_ai,2026-06-23
"baby kuna shida kubwa, nimepoteza simu na pesa zangu hapa South Africa, tuma Ksh13,500 kwa namba 0734998866 tafadhali.",fraud,sheng,romance_scam,batch23_ai,2026-06-23
"Mpenzi wangu, naomba msaada wa Ksh21,000 nikilipa rent yangu hapa Switzerland kabla nife-fired kazi, namba 0712667744.",fraud,sw,romance_scam,batch23_ai,2026-06-23
"My love, I urgently need $270 to clear a shipping fee for the engagement ring I sent you. Please send it to 0789556677.",fraud,en,romance_scam,batch23_ai,2026-06-23
"baby naomba unitumie Ksh17,500 kwa sababu nimekwama kwenye border crossing hapa Uganda, tuma kwa namba 0701445588.",fraud,sheng,romance_scam,batch23_ai,2026-06-23
"Mpenzi, naomba msaada wa haraka, gari langu limeharibika hapa Spain na nahitaji Ksh19,500 kulilipia, namba 0745889911.",fraud,sw,romance_scam,batch23_ai,2026-06-23
"Sweetheart, my work visa was rejected and I need $310 to reapply urgently. Send to 0712998855 so I can fix this today.",fraud,en,romance_scam,batch23_ai,2026-06-23
"baby kuna emergency biashara hapa Netherlands, nahitaji Ksh22,500 kuokoa contract yangu, tuma kwa namba 0734556699.",fraud,sheng,romance_scam,batch23_ai,2026-06-23
"Mpenzi wangu, naomba unitumie Ksh15,500 nikilipa fine ndogo niliyopata kwa traffic offense hapa Japan, namba 0701887766.",fraud,sw,romance_scam,batch23_ai,2026-06-23
"My darling, I'm in the hospital after an accident and need $240 to pay the doctor before treatment can continue. Send to 0745112288.",fraud,en,romance_scam,batch23_ai,2026-06-23
"baby naomba msaada wa Ksh8,800 kwa sababu nimepata robbery hapa Malaysia na nimepoteza pesa yote, namba 0712445566.",fraud,sheng,romance_scam,batch23_ai,2026-06-23
