message_text,label,language,fraud_category,source,date_collected
"KPLC PREPAID: Token 1234-5678-9012-3456-7890 for Ksh500.00 purchased on 23/6/26 at 9:10 AM. Units: 38.5 kWh. Meter No: 88213456.",legit,en,n/a,legit_batch12,2026-06-23
"KPLC PREPAID: Token 2345-6789-0123-4567-8901 for Ksh1,000.00 purchased on 23/6/26 at 11:25 AM. Units: 77.2 kWh. Meter No: 99021345.",legit,en,n/a,legit_batch12,2026-06-23
"TANESCO LUKU: Token 3456-7890-1234-5678-9012 for Tsh10,000.00 purchased on 23/6/26 at 13:40. Units: 65.4 kWh. Meter No: 887234.",legit,en,n/a,legit_batch12,2026-06-23
"KPLC PREPAID: Token 4567-8901-2345-6789-0123 for Ksh300.00 purchased on 23/6/26 at 8:50 AM. Units: 23.1 kWh. Meter No: 119283.",legit,en,n/a,legit_batch12,2026-06-23
"TANESCO LUKU: Token 5678-9012-3456-7890-1234 for Tsh5,000.00 purchased on 23/6/26 at 10:15. Units: 32.7 kWh. Meter No: 332091.",legit,en,n/a,legit_batch12,2026-06-23
"KPLC PREPAID: Token 6789-0123-4567-8901-2345 for Ksh2,000.00 purchased on 23/6/26 at 14:05 PM. Units: 154.8 kWh. Meter No: 776123.",legit,en,n/a,legit_batch12,2026-06-23
"Token ya KPLC: 7890-1234-5678-9012-3456 kwa Ksh700.00 imenunuliwa tarehe 23/6/26 saa 9:30. Units: 53.9 kWh. Meter No: 663218.",legit,sw,n/a,legit_batch12,2026-06-23
"TANESCO LUKU: Token 8901-2345-6789-0123-4567 for Tsh20,000.00 purchased on 23/6/26 at 15:50. Units: 131.0 kWh. Meter No: 220981.",legit,en,n/a,legit_batch12,2026-06-23
"KPLC PREPAID: Token 9012-3456-7890-1234-5678 for Ksh150.00 purchased on 23/6/26 at 7:45 AM. Units: 11.5 kWh. Meter No: 887765.",legit,en,n/a,legit_batch12,2026-06-23
"Token ya TANESCO: 0123-4567-8901-2345-6789 kwa Tsh8,000.00 imenunuliwa tarehe 23/6/26 saa 12:20. Units: 52.3 kWh. Meter No: 220198.",legit,sw,n/a,legit_batch12,2026-06-23
"KPLC PREPAID: Token 1357-2468-9135-7924-6813 for Ksh1,500.00 purchased on 23/6/26 at 16:35 PM. Units: 115.6 kWh. Meter No: 110982.",legit,en,n/a,legit_batch12,2026-06-23
"TANESCO LUKU: Token 2468-1357-8024-6913-5702 for Tsh15,000.00 purchased on 23/6/26 at 9:00. Units: 98.2 kWh. Meter No: 778120.",legit,en,n/a,legit_batch12,2026-06-23
"Token ya KPLC: 3579-2468-1357-9024-6813 kwa Ksh400.00 imenunuliwa tarehe 23/6/26 saa 11:10. Units: 30.8 kWh. Meter No: 990281.",legit,sw,n/a,legit_batch12,2026-06-23
"KPLC PREPAID: Token 4680-3579-2468-0135-7924 for Ksh800.00 purchased on 23/6/26 at 13:25 PM. Units: 61.6 kWh. Meter No: 332190.",legit,en,n/a,legit_batch12,2026-06-23
"TANESCO LUKU: Token 5791-4680-3579-1246-8035 for Tsh12,000.00 purchased on 23/6/26 at 10:45. Units: 78.5 kWh. Meter No: 991023.",legit,en,n/a,legit_batch12,2026-06-23
"Token ya KPLC: 6802-5791-4680-2357-9146 kwa Ksh250.00 imenunuliwa tarehe 23/6/26 saa 15:15. Units: 19.2 kWh. Meter No: 112098.",legit,sw,n/a,legit_batch12,2026-06-23
"KPLC PREPAID: Token 7913-6802-5791-3468-0257 for Ksh3,000.00 purchased on 23/6/26 at 8:25 AM. Units: 231.2 kWh. Meter No: 778012.",legit,en,n/a,legit_batch12,2026-06-23
"TANESCO LUKU: Token 8024-7913-6802-4579-1368 for Tsh25,000.00 purchased on 23/6/26 at 14:50. Units: 163.7 kWh. Meter No: 220981.",legit,en,n/a,legit_batch12,2026-06-23
