message_text,label,language,fraud_category,source,date_collected
"Lipa Mdogo Mdogo: Umelipa Ksh500.00 kati ya Ksh15,000.00 kwa simu yako mpya. Salio lililobaki ni Ksh14,500.00. Malipo yako yanayofuata ni 30/6/26.",legit,sw,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: You have paid Ksh800.00 towards your Ksh20,000.00 phone. Remaining balance is Ksh19,200.00. Your next payment is due on 30/6/26.",legit,en,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: Umelipa Ksh300.00 kati ya Ksh8,000.00 kwa simu yako. Salio lililobaki ni Ksh7,700.00. Malipo yako yanayofuata ni 30/6/26.",legit,sw,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: You have paid Ksh1,000.00 towards your Ksh25,000.00 smartphone. Remaining balance is Ksh24,000.00. Your next payment is due on 30/6/26.",legit,en,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: Umelipa Ksh400.00 kati ya Ksh12,000.00 kwa simu yako. Salio lililobaki ni Ksh11,600.00. Malipo yako yanayofuata ni 30/6/26.",legit,sw,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: You have paid Ksh600.00 towards your Ksh18,500.00 phone purchase. Remaining balance is Ksh17,900.00. Next payment due on 30/6/26.",legit,en,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: Umelipa Ksh700.00 kati ya Ksh22,000.00 kwa simu yako. Salio lililobaki ni Ksh21,300.00. Malipo yako yanayofuata ni 30/6/26.",legit,sw,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: You have paid Ksh250.00 towards your Ksh6,500.00 device. Remaining balance is Ksh6,250.00. Your next payment is due on 30/6/26.",legit,en,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: Umelipa Ksh900.00 kati ya Ksh27,000.00 kwa simu yako mpya. Salio lililobaki ni Ksh26,100.00. Malipo yako yanayofuata ni 30/6/26.",legit,sw,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: You have paid Ksh450.00 towards your Ksh14,000.00 phone. Remaining balance is Ksh13,550.00. Your next payment is due on 30/6/26.",legit,en,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: Umelipa Ksh550.00 kati ya Ksh16,000.00 kwa simu yako. Salio lililobaki ni Ksh15,450.00. Malipo yako yanayofuata ni 30/6/26.",legit,sw,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: You have paid Ksh1,200.00 towards your Ksh30,000.00 smartphone. Remaining balance is Ksh28,800.00. Your next payment is due on 30/6/26.",legit,en,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: Umelipa Ksh350.00 kati ya Ksh9,500.00 kwa simu yako. Salio lililobaki ni Ksh9,150.00. Malipo yako yanayofuata ni 30/6/26.",legit,sw,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: You have paid Ksh800.00 towards your Ksh21,000.00 phone purchase. Remaining balance is Ksh20,200.00. Next payment due on 30/6/26.",legit,en,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: Umelipa Ksh650.00 kati ya Ksh19,000.00 kwa simu yako mpya. Salio lililobaki ni Ksh18,350.00. Malipo yako yanayofuata ni 30/6/26.",legit,sw,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: You have paid Ksh500.00 towards your Ksh13,500.00 device. Remaining balance is Ksh13,000.00. Your next payment is due on 30/6/26.",legit,en,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: Umelipa Ksh1,000.00 kati ya Ksh28,000.00 kwa simu yako. Salio lililobaki ni Ksh27,000.00. Malipo yako yanayofuata ni 30/6/26.",legit,sw,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: You have paid Ksh300.00 towards your Ksh7,500.00 phone. Remaining balance is Ksh7,200.00. Your next payment is due on 30/6/26.",legit,en,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: Umelipa Ksh750.00 kati ya Ksh23,000.00 kwa simu yako mpya. Salio lililobaki ni Ksh22,250.00. Malipo yako yanayofuata ni 30/6/26.",legit,sw,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: You have paid Ksh1,100.00 towards your Ksh26,500.00 smartphone. Remaining balance is Ksh25,400.00. Your next payment is due on 30/6/26.",legit,en,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: Umelipa Ksh400.00 kati ya Ksh11,000.00 kwa simu yako. Salio lililobaki ni Ksh10,600.00. Malipo yako yanayofuata ni 30/6/26.",legit,sw,n/a,legit_batch10,2026-06-23
"Lipa Mdogo Mdogo: You have paid Ksh600.00 towards your Ksh17,000.00 phone purchase. Remaining balance is Ksh16,400.00. Next payment due on 30/6/26.",legit,en,n/a,legit_batch10,2026-06-23
