message_text,label,language,fraud_category,source,date_collected
"Habari, kampuni yako imepata tenda ya serikali ya kusambaza vifaa vya ofisi thamani ya Ksh2,000,000. Tuma Ksh15,000 ada ya usajili kwa namba 0712334455.",fraud,sw,fake_tender_business_deal,batch22_ai,2026-06-23
"Congratulations, your business has been awarded a government supply tender worth Ksh3,500,000. Send Ksh18,000 registration fee to 0745998822.",fraud,en,fake_tender_business_deal,batch22_ai,2026-06-23
"buda biashara yako imepata tenda ya county government ya kusambaza chakula, tuma Ksh12,000 ada kwa namba 0701887744 leo",fraud,sheng,fake_tender_business_deal,batch22_ai,2026-06-23
"Habari mkuu, kampuni yako imechaguliwa kupata tenda ya kusambaza madawa hospitalini thamani Ksh1,800,000. Tuma Ksh14,500 ada kwa 0789556699.",fraud,sw,fake_tender_business_deal,batch22_ai,2026-06-23
"Your firm has won a Ksh4,200,000 road construction tender from the Ministry of Transport. Send Ksh22,000 processing fee to 0712445599.",fraud,en,fake_tender_business_deal,batch22_ai,2026-06-23
"mse biashara yako imeshinda tenda ya kusambaza vitabu shuleni, tuma Ksh10,500 ada kwa namba 0734667722 leo bila kuchelewa",fraud,sheng,fake_tender_business_deal,batch22_ai,2026-06-23
"Habari, shirika lako limepata tenda ya kusambaza vyombo vya jikoni kwenye taasisi za serikali. Tuma Ksh16,000 ada kwa 0701223399.",fraud,sw,fake_tender_business_deal,batch22_ai,2026-06-23
"You've been awarded a supply contract worth Ksh2,800,000 for office furniture by the County Government. Send Ksh17,500 fee to 0745889922.",fraud,en,fake_tender_business_deal,batch22_ai,2026-06-23
"buda kampuni yako imepata tenda ya kusambaza nguo za shule, tuma Ksh11,000 ada ya usajili kwa namba 0712998877 leo.",fraud,sheng,fake_tender_business_deal,batch22_ai,2026-06-23
"Habari mkuu, kampuni yako imechaguliwa kupata mkataba wa ujenzi wa barabara thamani Ksh5,000,000. Tuma Ksh25,000 ada kwa 0789221144.",fraud,sw,fake_tender_business_deal,batch22_ai,2026-06-23
"Your company has been selected for a government catering tender worth Ksh1,500,000. Send Ksh13,500 registration fee to 0701556633.",fraud,en,fake_tender_business_deal,batch22_ai,2026-06-23
"niaje msee, biashara yako imeshinda tenda ya kusambaza fertilizer kwa wakulima, tuma Ksh9,800 ada kwa namba 0745112277 leo.",fraud,sheng,fake_tender_business_deal,batch22_ai,2026-06-23
"Habari, kampuni yako imepata tenda ya kusambaza vifaa vya umeme katika shule za umma. Tuma Ksh13,800 ada kwa namba 0712889933.",fraud,sw,fake_tender_business_deal,batch22_ai,2026-06-23
"Your business has won a Ksh3,000,000 hospital equipment supply tender from the Ministry of Health. Send Ksh19,500 fee to 0734556688.",fraud,en,fake_tender_business_deal,batch22_ai,2026-06-23
"buda biashara yako imepata tenda ya kusambaza vifaa vya ujenzi, tuma Ksh14,200 ada kwa namba 0701776655 leo bila kuchelewa.",fraud,sheng,fake_tender_business_deal,batch22_ai,2026-06-23
"Habari mkuu, kampuni yako imechaguliwa kupata mkataba wa kusambaza maji vijijini thamani Ksh2,500,000. Tuma Ksh16,800 ada kwa 0745667711.",fraud,sw,fake_tender_business_deal,batch22_ai,2026-06-23
"You have been awarded a Ksh4,500,000 fuel supply contract by a county government department. Send Ksh23,500 processing fee to 0789112255.",fraud,en,fake_tender_business_deal,batch22_ai,2026-06-23
"mzee kampuni yako imepata tenda ya kusambaza vifaa vya kompyuta shuleni, tuma Ksh15,500 ada kwa namba 0712334477 leo.",fraud,sheng,fake_tender_business_deal,batch22_ai,2026-06-23
