message_text,label,language,fraud_category,source,date_collected
"M-Shwari: Your deposit of Ksh3,000.00 was successful on 23/6/26. Your M-Shwari savings balance is now Ksh18,500.00. Dial *334# for more options.",legit,en,n/a,legit_batch9,2026-06-23
"M-Shwari: Mkopo wako wa Ksh8,000.00 umeingia kwenye akaunti yako ya M-PESA tarehe 23/6/26 saa 10:15. Lipa kabla ya 23/7/26 kuepuka riba ya ziada.",legit,sw,n/a,legit_batch9,2026-06-23
"M-Koba: Akiba yako ya kila wiki ya Ksh2,000 imefanikiwa kuwekwa tarehe 23/6/26. Jumla ya akiba yako sasa ni Ksh24,000.00.",legit,sw,n/a,legit_batch9,2026-06-23
"M-Pawa: Your weekly savings deposit of Tsh10,000 was successful on 23/6/26. Your total savings balance is now Tsh130,000.00.",legit,en,n/a,legit_batch9,2026-06-23
"M-Shwari: Your deposit of Ksh1,500.00 was successful on 23/6/26. Your M-Shwari savings balance is now Ksh9,200.00. Dial *334# for more options.",legit,en,n/a,legit_batch9,2026-06-23
"M-Shwari: Mkopo wako wa Ksh5,000.00 umeingia kwenye akaunti yako ya M-PESA tarehe 23/6/26 saa 11:40. Lipa kabla ya 23/7/26 kuepuka riba ya ziada.",legit,sw,n/a,legit_batch9,2026-06-23
"M-Koba: Akiba yako ya kila wiki ya Ksh1,500 imefanikiwa kuwekwa tarehe 23/6/26. Jumla ya akiba yako sasa ni Ksh16,500.00.",legit,sw,n/a,legit_batch9,2026-06-23
"M-Shwari: Your loan of Ksh12,000.00 has been disbursed to your M-PESA account on 23/6/26 at 1:30 PM. Repay before 23/7/26 to avoid extra interest.",legit,en,n/a,legit_batch9,2026-06-23
"M-Pawa: Akiba yako ya kila wiki ya Tsh8,000 imefanikiwa kuwekwa tarehe 23/6/26. Jumla ya akiba yako sasa ni Tsh95,000.00.",legit,sw,n/a,legit_batch9,2026-06-23
"M-Shwari: Your deposit of Ksh4,500.00 was successful on 23/6/26. Your M-Shwari savings balance is now Ksh22,300.00. Dial *334# for more options.",legit,en,n/a,legit_batch9,2026-06-23
"M-Koba: Mkopo wako wa Ksh6,500.00 umeingia kwenye akaunti yako ya M-PESA tarehe 23/6/26 saa 9:50. Lipa kabla ya 23/7/26 kuepuka riba ya ziada.",legit,sw,n/a,legit_batch9,2026-06-23
"M-Shwari: Your weekly savings deposit of Ksh1,000.00 was successful on 23/6/26. Your total savings balance is now Ksh7,400.00.",legit,en,n/a,legit_batch9,2026-06-23
"M-Pawa: Mkopo wako wa Tsh20,000.00 umeingia kwenye akaunti yako ya M-PESA tarehe 23/6/26 saa 14:05. Lipa kabla ya 23/7/26 kuepuka riba ya ziada.",legit,sw,n/a,legit_batch9,2026-06-23
"M-Shwari: Your fixed deposit of Ksh20,000.00 matured today, 23/6/26, with interest of Ksh400.00. Total credited to your savings is Ksh20,400.00.",legit,en,n/a,legit_batch9,2026-06-23
