message_text,label,language,fraud_category,source,date_collected
"Umeshinda Ksh75,000 kwenye Safaricom Bonyeza Promo. Tuma Ksh400 ada ya usajili kwa namba 0712334455 kupokea pesa yako leo.",fraud,sw,fake_prize_winner,batch12_ai,2026-06-23
"Congratulations! Your number has won Ksh90,000 in the M-Pesa Anniversary Draw. Send Ksh500 processing fee to 0745998822 to claim now.",fraud,en,fake_prize_winner,batch12_ai,2026-06-23
"buda umeshinda zawadi ya simu mpya kupitia promo, tuma Ksh250 confirmation kwa 0701887744 ndio ufike kuipick",fraud,sheng,fake_prize_winner,batch12_ai,2026-06-23
"Habari, namba yako imechaguliwa kushinda Ksh40,000 kwenye Tigo Pesa Bahati Nasibu. Tuma Ksh300 ada ya kodi kwa 0789556699.",fraud,sw,fake_prize_winner,batch12_ai,2026-06-23
"You have been selected as the winner of Ksh120,000 in the Airtel Money Jackpot. Send Ksh600 verification fee to 0712445599 today.",fraud,en,fake_prize_winner,batch12_ai,2026-06-23
"mse hii ni Vodacom bonus, umeshinda TZS200,000, tuma TZS10,000 ada kwa namba 0734667722 kupokea pesa yako",fraud,sheng,fake_prize_winner,batch12_ai,2026-06-23
"Habari mteja, umeshinda gari dogo kupitia Safaricom Loyalty Draw. Tuma Ksh1,500 logbook fee kwa 0701223399 kuipata leo.",fraud,sw,fake_prize_winner,batch12_ai,2026-06-23
"Your line won Ksh55,000 in the MTN Mobile Money Bonus Draw. Send Ksh350 release fee to 0745889922 to receive your winnings.",fraud,en,fake_prize_winner,batch12_ai,2026-06-23
"buda umeshinda TV mpya ya 43 inch kupitia M-Pesa promo, tuma Ksh400 delivery fee kwa namba 0712998877 leo",fraud,sheng,fake_prize_winner,batch12_ai,2026-06-23
"Habari, kampuni ya Betika inakutangaza mshindi wa Ksh200,000 kwenye bahati nasibu ya wiki. Tuma Ksh800 kodi kwa 0789221144.",fraud,sw,fake_prize_winner,batch12_ai,2026-06-23
"You've won a brand new smartphone in the Safaricom Customer Appreciation Promo. Send Ksh300 redemption fee to 0701556633 to claim.",fraud,en,fake_prize_winner,batch12_ai,2026-06-23
