message_text,label,language,fraud_category,source,date_collected
"Habari mteja, namba yako itahamishwa kwa SIM mpya kwa sababu ya uharibifu ulioripotiwa. Tuma PIN yako kwa 0712334455 kuzuia uhamisho.",fraud,sw,sim_swap_attempt,batch10_ai,2026-06-23
"Your SIM card will be replaced due to a reported damage request. If this wasn't you, send your PIN to 0745998822 to cancel it now.",fraud,en,sim_swap_attempt,batch10_ai,2026-06-23
"buda kuna request ya kubadilisha SIM yako, kama hiyo si wewe tuma PIN kwa 0701887744 sasa ndio tucancel",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-23
"Tahadhari: Tumepokea ombi la kuhamisha namba yako kwa simu mpya. Tuma PIN yako kwa 0789556699 kuzuia uhamisho usioidhinishwa.",fraud,sw,sim_swap_attempt,batch10_ai,2026-06-23
"SIM Swap Alert: A request has been made to transfer your number to a new SIM. Cancel it by sending your PIN to 0712445599 now.",fraud,en,sim_swap_attempt,batch10_ai,2026-06-23
"mse kuna mtu anatry kubadilisha SIM yako somewhere, tuma PIN kwa 0734667722 ndio tublock huyo before akufanyie hujuma",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-23
"Habari, namba yako iko hatarini kuhamishwa kwa SIM nyingine bila ruhusa. Tuma PIN yako sasa kwa 0701223399 kuzuia hili.",fraud,sw,sim_swap_attempt,batch10_ai,2026-06-23
"Your line is scheduled for SIM replacement in 30 minutes. If you did not request this, send your PIN to 0745889922 to stop it.",fraud,en,sim_swap_attempt,batch10_ai,2026-06-23
"buda kuna SIM swap request kwa namba yako leo, kama si wewe tuma PIN kwa 0712998877 mapema kabla mtu apate access",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-23
"Tahadhari kutoka Safaricom: Mtu fulani amewasilisha ombi la kubadilisha SIM yako. Tuma PIN kwa namba 0789221144 kuzuia.",fraud,sw,sim_swap_attempt,batch10_ai,2026-06-23
"Notice: We've received a SIM swap request for your number from a different location. Send your PIN to 0701556633 to block it.",fraud,en,sim_swap_attempt,batch10_ai,2026-06-23
"niaje msee, namba yako iko risk ya kuhamishwa kwa SIM nyingine, tuma PIN kwa 0745112277 ndio tucancel hiyo request",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-23
"Habari mteja, ombi la kubadilisha SIM yako limepokelewa kutoka eneo lisilo la kawaida. Tuma PIN sasa kwa 0712889933.",fraud,sw,sim_swap_attempt,batch10_ai,2026-06-23
"Your number is at risk of being ported to another network without your consent. Confirm your identity by sending PIN to 0734556688.",fraud,en,sim_swap_attempt,batch10_ai,2026-06-23
"buda kuna mtu anataka kuhamisha namba yako kwa SIM yake, tuma PIN sasa kwa 0701776655 ndio tumstop kabla apate control",fraud,sheng,sim_swap_attempt,batch10_ai,2026-06-23
"Tahadhari: Tumeona shughuli ya kubadilisha SIM kwenye namba yako. Tuma PIN yako kwa namba 0745667711 kuzuia uhamisho.",fraud,sw,sim_swap_attempt,batch10_ai,2026-06-23
