message_text,label,language,fraud_category,source,date_collected
"FUL2K9YTR Fuliza M-PESA. Ksh200.00 used to complete your transaction of Ksh1,200.00 to JAVA HOUSE. Fuliza M-PESA outstanding amount is Ksh200.00 due on 30/6/26. Interest is Ksh1.50 per day.",legit,en,n/a,legit_batch8,2026-06-23
"FUL3K8XQR Fuliza M-PESA. Ksh500.00 used to complete your transaction of Ksh3,000.00 to NAIVAS SUPERMARKET. Fuliza M-PESA outstanding amount is Ksh500.00 due on 30/6/26. Interest is Ksh3.75 per day.",legit,en,n/a,legit_batch8,2026-06-23
"Fuliza M-PESA. Ksh100.00 imetumika kukamilisha muamala wako wa Ksh800.00 kwa MAMA MBOGA STALL. Deni la Fuliza ni Ksh100.00 linalostahili 30/6/26. Riba ni Ksh0.75 kwa siku.",legit,sw,n/a,legit_batch8,2026-06-23
"FUL5M2NPQ Fuliza M-PESA. Ksh1,000.00 used to complete your transaction of Ksh5,500.00 withdrawal. Fuliza M-PESA outstanding amount is Ksh1,000.00 due on 30/6/26. Interest is Ksh7.50 per day.",legit,en,n/a,legit_batch8,2026-06-23
"Your Fuliza M-PESA limit has increased to Ksh7,000.00 based on your usage history. Enjoy seamless transactions. Dial *234# for more.",legit,en,n/a,legit_batch8,2026-06-23
"Fuliza M-PESA. Ksh300.00 imetumika kukamilisha muamala wako wa Ksh1,500.00 kwa KPLC PREPAID. Deni la Fuliza ni Ksh300.00 linalostahili 30/6/26. Riba ni Ksh2.25 kwa siku.",legit,sw,n/a,legit_batch8,2026-06-23
"FUL8K3MQR Fuliza M-PESA. Ksh50.00 used to complete your transaction of Ksh250.00 to CHICKEN INN. Fuliza M-PESA outstanding amount is Ksh50.00 due on 30/6/26. Interest is Ksh0.38 per day.",legit,en,n/a,legit_batch8,2026-06-23
"Your Fuliza M-PESA repayment of Ksh400.00 was successful on 23/6/26. Your remaining Fuliza balance is Ksh100.00. Thank you for clearing your debt.",legit,en,n/a,legit_batch8,2026-06-23
"Fuliza M-PESA. Malipo yako ya Ksh250.00 yamefanikiwa tarehe 23/6/26. Salio lililobaki la Fuliza ni Ksh50.00. Asante kwa kulipa deni lako.",legit,sw,n/a,legit_batch8,2026-06-23
"FUL9P4XTQ Fuliza M-PESA. Ksh750.00 used to complete your transaction of Ksh4,200.00 to QUICKMART. Fuliza M-PESA outstanding amount is Ksh750.00 due on 30/6/26. Interest is Ksh5.63 per day.",legit,en,n/a,legit_batch8,2026-06-23
"Your Fuliza M-PESA limit has increased to Ksh10,000.00 based on your usage history. Enjoy seamless transactions. Dial *234# for more.",legit,en,n/a,legit_batch8,2026-06-23
"Fuliza M-PESA. Ksh150.00 imetumika kukamilisha muamala wako wa Ksh700.00 kwa GALITOS CHICKEN. Deni la Fuliza ni Ksh150.00 linalostahili 30/6/26. Riba ni Ksh1.13 kwa siku.",legit,sw,n/a,legit_batch8,2026-06-23
"FUL2K8XPR Fuliza M-PESA. Ksh600.00 used to complete your transaction of Ksh3,500.00 withdrawal. Fuliza M-PESA outstanding amount is Ksh600.00 due on 30/6/26. Interest is Ksh4.50 per day.",legit,en,n/a,legit_batch8,2026-06-23
"Your Fuliza M-PESA repayment of Ksh1,000.00 was successful on 23/6/26. Your remaining Fuliza balance is Ksh0.00. You are now eligible for higher limits.",legit,en,n/a,legit_batch8,2026-06-23
"Fuliza M-PESA. Ksh80.00 imetumika kukamilisha muamala wako wa Ksh400.00 kwa MAMA MBOGA STALL. Deni la Fuliza ni Ksh80.00 linalostahili 30/6/26. Riba ni Ksh0.60 kwa siku.",legit,sw,n/a,legit_batch8,2026-06-23
"FUL6Q3MNR Fuliza M-PESA. Ksh350.00 used to complete your transaction of Ksh2,100.00 to TUSKYS SUPERMARKET. Fuliza M-PESA outstanding amount is Ksh350.00 due on 30/6/26. Interest is Ksh2.63 per day.",legit,en,n/a,legit_batch8,2026-06-23
"Your Fuliza M-PESA limit is now Ksh4,000.00 based on your recent activity. Use it responsibly. Dial *234# for more details.",legit,en,n/a,legit_batch8,2026-06-23
"Fuliza M-PESA. Malipo yako ya Ksh500.00 yamefanikiwa tarehe 23/6/26. Salio lililobaki la Fuliza ni Ksh200.00. Asante kwa kulipa deni lako.",legit,sw,n/a,legit_batch8,2026-06-23
"FUL4P2KTR Fuliza M-PESA. Ksh900.00 used to complete your transaction of Ksh5,800.00 to CARREFOUR. Fuliza M-PESA outstanding amount is Ksh900.00 due on 30/6/26. Interest is Ksh6.75 per day.",legit,en,n/a,legit_batch8,2026-06-23
"Fuliza M-PESA. Ksh200.00 imetumika kukamilisha muamala wako wa Ksh1,000.00 kwa ZUKU FIBER. Deni la Fuliza ni Ksh200.00 linalostahili 30/6/26. Riba ni Ksh1.50 kwa siku.",legit,sw,n/a,legit_batch8,2026-06-23
"FUL7M9NQR Fuliza M-PESA. Ksh120.00 used to complete your transaction of Ksh600.00 to PIZZA INN. Fuliza M-PESA outstanding amount is Ksh120.00 due on 30/6/26. Interest is Ksh0.90 per day.",legit,en,n/a,legit_batch8,2026-06-23
"Your Fuliza M-PESA repayment of Ksh300.00 was successful on 23/6/26. Your remaining Fuliza balance is Ksh50.00. Keep up the good repayment habit.",legit,en,n/a,legit_batch8,2026-06-23
"Fuliza M-PESA. Ksh60.00 imetumika kukamilisha muamala wako wa Ksh300.00 kwa MAMA MBOGA STALL. Deni la Fuliza ni Ksh60.00 linalostahili 30/6/26. Riba ni Ksh0.45 kwa siku.",legit,sw,n/a,legit_batch8,2026-06-23
"FUL1K3PNR Fuliza M-PESA. Ksh450.00 used to complete your transaction of Ksh2,800.00 withdrawal. Fuliza M-PESA outstanding amount is Ksh450.00 due on 30/6/26. Interest is Ksh3.38 per day.",legit,en,n/a,legit_batch8,2026-06-23
"Your Fuliza M-PESA limit has increased to Ksh15,000.00 based on your usage history. Enjoy seamless transactions. Dial *234# for more.",legit,en,n/a,legit_batch8,2026-06-23
