message_text,label,language,fraud_category,source,date_collected
"Habari, nina picha zako za siri kutoka kwenye simu yako iliyodukuliwa. Tuma Ksh5,000 kwa namba 0712334455 au nitazitangaza kwa wote.",fraud,sw,blackmail_extortion,batch19_ai,2026-06-23
"I have compromising photos of you from your hacked account. Send Ksh6,500 to 0745998822 or I will share them with your contacts.",fraud,en,blackmail_extortion,batch19_ai,2026-06-23
"buda nina video yako ya siri, tuma Ksh4,200 kwa namba 0701887744 leo ama nitawatumia wote kwenye group zako",fraud,sheng,blackmail_extortion,batch19_ai,2026-06-23
"Habari, nimepata picha zako kutoka kwenye akaunti yako ya WhatsApp iliyohackiwa. Tuma Ksh3,800 kwa namba 0789556699 au nitazitumia mtandaoni.",fraud,sw,blackmail_extortion,batch19_ai,2026-06-23
"I have access to your private messages and photos. Pay Ksh7,200 to 0712445599 within 24 hours or everything gets leaked online.",fraud,en,blackmail_extortion,batch19_ai,2026-06-23
"mse nina screenshots za chat yako ya siri, tuma Ksh3,500 kwa namba 0734667722 ama nitatuma kwa mke wako leo",fraud,sheng,blackmail_extortion,batch19_ai,2026-06-23
"Habari, nimedukua kamera ya simu yako na nina video za siri. Tuma Ksh5,500 kwa namba 0701223399 au nitatuma kwa familia yako.",fraud,sw,blackmail_extortion,batch19_ai,2026-06-23
"I recorded your video call without your knowledge. Send Ksh6,000 to 0745889922 immediately or I will post it on social media.",fraud,en,blackmail_extortion,batch19_ai,2026-06-23
"buda nimepata access kwenye laptop yako, nina files za siri, tuma Ksh4,800 kwa namba 0712998877 ama nitazitangaza",fraud,sheng,blackmail_extortion,batch19_ai,2026-06-23
"Habari, nina ushahidi wa mambo uliyofanya wiki iliyopita. Tuma Ksh4,500 kwa namba 0789221144 leo ama nitamwambia mke wako.",fraud,sw,blackmail_extortion,batch19_ai,2026-06-23
"Your webcam was hacked and we have recordings. Pay Ksh8,000 to 0701556633 now or we share it with your work colleagues today.",fraud,en,blackmail_extortion,batch19_ai,2026-06-23
"niaje msee, nina picha zako kutoka kwenye gallery iliyohackiwa, tuma Ksh3,900 kwa namba 0745112277 ama nitazitangaza kwa fam yako",fraud,sheng,blackmail_extortion,batch19_ai,2026-06-23
"Habari, nimekupata kwenye site ya siri, nina screenshot ya account yako. Tuma Ksh5,200 kwa namba 0712889933 leo kuepuka aibu.",fraud,sw,blackmail_extortion,batch19_ai,2026-06-23
"I have your private chats with someone outside your marriage. Send Ksh7,500 to 0734556688 today or your spouse will receive them.",fraud,en,blackmail_extortion,batch19_ai,2026-06-23
"buda kuna video yako iliyorekodiwa siri, tuma Ksh4,100 kwa namba 0701776655 leo ama itatumwa kwa wenzako kazini",fraud,sheng,blackmail_extortion,batch19_ai,2026-06-23
"Habari, nina ushahidi wa shughuli zako za biashara isiyo halali. Tuma Ksh6,300 kwa namba 0745667711 ama nitaripoti polisi.",fraud,sw,blackmail_extortion,batch19_ai,2026-06-23
"I accessed your bank statements through a leaked database. Pay Ksh5,800 to 0789112255 or I will expose your financial details.",fraud,en,blackmail_extortion,batch19_ai,2026-06-23
"mzee nina recording ya call yako ya siri, tuma Ksh3,650 kwa namba 0712334477 leo ama nitatuma kwa boss wako",fraud,sheng,blackmail_extortion,batch19_ai,2026-06-23
"Habari, nina picha zilizopigwa wakati ulikuwa hospitalini kwa tatizo la siri. Tuma Ksh4,950 kwa namba 0701998822 leo.",fraud,sw,blackmail_extortion,batch19_ai,2026-06-23
"I found compromising material on your social media before you deleted it. Send Ksh6,700 to 0745221199 or it gets shared publicly.",fraud,en,blackmail_extortion,batch19_ai,2026-06-23
"buda nina ushahidi wa kosa ulilofanya kazini, tuma Ksh5,400 kwa namba 0734998866 leo ama nitamripoti HR yako",fraud,sheng,blackmail_extortion,batch19_ai,2026-06-23
"Habari, nimepata video yako kwenye site uliyokuwa unatembelea kwa siri. Tuma Ksh7,100 kwa namba 0712667744 leo kuepuka aibu.",fraud,sw,blackmail_extortion,batch19_ai,2026-06-23
"I intercepted your private email correspondence. Pay Ksh5,950 to 0789556677 now or I will forward it to your business partners.",fraud,en,blackmail_extortion,batch19_ai,2026-06-23
"niaje buda, nina picha zilizopigwa kwa siri wakati wa tukio fulani, tuma Ksh4,400 kwa namba 0701445588 leo ama nitazitangaza",fraud,sheng,blackmail_extortion,batch19_ai,2026-06-23
"Habari, nina ushahidi wa deni la siri ulilokopa bila kumtaarifu mke wako. Tuma Ksh3,700 kwa namba 0745889911 leo.",fraud,sw,blackmail_extortion,batch19_ai,2026-06-23
"I have screenshots of your dating app conversations. Send Ksh6,150 to 0712998855 or your family will receive copies tomorrow.",fraud,en,blackmail_extortion,batch19_ai,2026-06-23
"buda nina recording ya kosa ulilofanya kwenye kazi yako ya zamani, tuma Ksh4,650 kwa namba 0734556699 leo ama itatumwa",fraud,sheng,blackmail_extortion,batch19_ai,2026-06-23
"Habari, nina taarifa za siri kutoka kwa rafiki yako wa zamani aliyenipa. Tuma Ksh5,300 kwa namba 0701887766 leo kuepuka aibu.",fraud,sw,blackmail_extortion,batch19_ai,2026-06-23
"I have leaked photos from your cloud storage account. Pay Ksh7,800 to 0745112288 within 12 hours or they go public today.",fraud,en,blackmail_extortion,batch19_ai,2026-06-23
"mse nina chat za siri kutoka phone yako iliyohackiwa, tuma Ksh3,850 kwa namba 0712445566 leo ama nitazitangaza kwa wote",fraud,sheng,blackmail_extortion,batch19_ai,2026-06-23
"Habari, nimepata records za simu yako za zamani zenye mambo ya siri. Tuma Ksh4,250 kwa namba 0789221166 leo kuepuka aibu.",fraud,sw,blackmail_extortion,batch19_ai,2026-06-23
"I have your private financial records from a data breach. Send Ksh6,950 to 0701556644 or your business associates get them.",fraud,en,blackmail_extortion,batch19_ai,2026-06-23
"buda kuna kosa la siri ulilofanya nalo nina ushahidi, tuma Ksh5,050 kwa namba 0745667799 leo ama nitalitangaza kwa wote",fraud,sheng,blackmail_extortion,batch19_ai,2026-06-23
"Habari, nina recording ya mazungumzo yako ya siri kupitia simu iliyohackiwa. Tuma Ksh4,800 kwa namba 0712889944 leo.",fraud,sw,blackmail_extortion,batch19_ai,2026-06-23
"I have copies of personal messages exchanged with a colleague that could ruin your reputation. Pay Ksh7,300 to 0701998833.",fraud,en,blackmail_extortion,batch19_ai,2026-06-23
"niaje msee, nina ushahidi wa siri kuhusu maisha yako ya zamani, tuma Ksh3,950 kwa namba 0734221188 leo ama nitazitangaza",fraud,sheng,blackmail_extortion,batch19_ai,2026-06-23
"Habari, nina picha za siri ulizopigwa wakati wa safari yako ya kazi. Tuma Ksh6,400 kwa namba 0745998822 leo kuepuka aibu.",fraud,sw,blackmail_extortion,batch19_ai,2026-06-23
"I have your private location history that proves where you've been secretly. Send Ksh5,650 to 0712556677 or it gets exposed.",fraud,en,blackmail_extortion,batch19_ai,2026-06-23
"buda kuna ushahidi wa siri kuhusu deni lako la zamani, tuma Ksh4,150 kwa namba 0701445599 leo ama nitalitangaza kwa wote",fraud,sheng,blackmail_extortion,batch19_ai,2026-06-23
"Habari, nina ushahidi wa kosa ulilofanya kwenye chama chako cha kazi. Tuma Ksh6,850 kwa namba 0789112277 leo kuepuka.",fraud,sw,blackmail_extortion,batch19_ai,2026-06-23
"I obtained your private medical records during a data leak. Pay Ksh7,950 to 0745889933 within 24 hours or they go public.",fraud,en,blackmail_extortion,batch19_ai,2026-06-23
"niaje buda, nina recording ya kosa kubwa ulilofanya, tuma Ksh5,250 kwa namba 0712998811 leo ama itasambazwa kila mahali",fraud,sheng,blackmail_extortion,batch19_ai,2026-06-23
"Habari, nina screenshot za mazungumzo yako ya siri na mtu mwingine. Tuma Ksh4,600 kwa namba 0701776644 leo kuepuka aibu.",fraud,sw,blackmail_extortion,batch19_ai,2026-06-23
"I recorded a private call between you and your business partner. Send Ksh6,250 to 0734667733 or it gets shared with competitors.",fraud,en,blackmail_extortion,batch19_ai,2026-06-23
"buda nina ushahidi wa picha za siri zilizotoka kwenye cloud yako, tuma Ksh3,750 kwa namba 0745221177 leo ama nitazitangaza",fraud,sheng,blackmail_extortion,batch19_ai,2026-06-23
"Habari, nina taarifa za siri kuhusu hali yako ya kifedha. Tuma Ksh5,900 kwa namba 0712334466 leo kuepuka kuaibika mbele ya watu.",fraud,sw,blackmail_extortion,batch19_ai,2026-06-23
"I have your private browsing history from a compromised network. Pay Ksh4,950 to 0701998811 or it gets sent to your employer.",fraud,en,blackmail_extortion,batch19_ai,2026-06-23
"mzee nina picha zako za siri kutoka tukio fulani, tuma Ksh4,050 kwa namba 0789556633 leo ama nitazitangaza kwa kila mtu",fraud,sheng,blackmail_extortion,batch19_ai,2026-06-23
