message_text,label,language,fraud_category,source,date_collected
"TGH3K9XTA Confirmed. Ksh2,340.00 paid to NAIVAS SUPERMARKET LIMITED. on 23/6/26 at 9:25 AM. New M-PESA balance is Ksh1,160.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"QML7P2NTA Confirmed. Ksh890.00 paid to CARREFOUR HYPERMARKET. on 23/6/26 at 10:50 AM. New M-PESA balance is Ksh740.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"Imethibitishwa. Ksh1,560.00 imelipwa kwa QUICKMART STORES. tarehe 23/6/26 saa 11:15. Salio jipya ni Ksh940.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch15,2026-06-23
"RKT4Q9WTA Confirmed. Ksh3,720.00 paid to CHANDARANA SUPERMARKET. on 23/6/26 at 1:25 PM. New M-PESA balance is Ksh2,650.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"NHX8M3LTA Confirmed. Ksh560.00 paid to TUSKYS SUPERMARKET LIMITED. on 23/6/26 at 2:50 PM. New M-PESA balance is Ksh1,350.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"Imethibitishwa. Ksh2,100.00 imelipwa kwa NAKUMATT HOLDINGS. tarehe 23/6/26 saa 8:35. Salio jipya ni Ksh940.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch15,2026-06-23
"OPZ5R7XTA Confirmed. Ksh430.00 paid to MR PRICE CLOTHING STORE. on 23/6/26 at 3:15 PM. New M-PESA balance is Ksh750.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"FGL2K9YTA Confirmed. Ksh1,890.00 paid to CARREFOUR HYPERMARKET. on 23/6/26 at 8:40 AM. New M-PESA balance is Ksh1,210.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"Imethibitishwa. Ksh670.00 imelipwa kwa QUICKMART STORES. tarehe 23/6/26 saa 13:15. Salio jipya ni Ksh1,580.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch15,2026-06-23
"DHK4M8NTA Confirmed. Ksh4,300.00 paid to NAIVAS SUPERMARKET LIMITED. on 23/6/26 at 1:00 PM. New M-PESA balance is Ksh1,940.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"WLN9P2KTA Confirmed. Ksh350.00 paid to CHANDARANA SUPERMARKET. on 23/6/26 at 7:50 AM. New M-PESA balance is Ksh615.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"Imethibitishwa. Ksh890.00 imelipwa kwa TUSKYS SUPERMARKET. tarehe 23/6/26 saa 16:30. Salio jipya ni Ksh1,330.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch15,2026-06-23
"JBM6T1ZTA Confirmed. Ksh1,260.00 paid to NAIVAS SUPERMARKET LIMITED. on 23/6/26 at 9:55 AM. New M-PESA balance is Ksh930.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"YGT3K9MTA Confirmed. Ksh3,150.00 paid to CARREFOUR HYPERMARKET. on 23/6/26 at 4:35 PM. New M-PESA balance is Ksh830.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"Imethibitishwa. Ksh420.00 imelipwa kwa QUICKMART STORES. tarehe 23/6/26 saa 9:55. Salio jipya ni Ksh910.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch15,2026-06-23
"VKQ8R4NTA Confirmed. Ksh1,990.00 paid to MR PRICE CLOTHING STORE. on 23/6/26 at 11:40 AM. New M-PESA balance is Ksh1,320.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"ZWQ7M2PTA Confirmed. Ksh650.00 paid to CHANDARANA SUPERMARKET. on 23/6/26 at 2:25 PM. New M-PESA balance is Ksh565.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"Imethibitishwa. Ksh2,750.00 imelipwa kwa NAIVAS SUPERMARKET LIMITED. tarehe 23/6/26 saa 17:10. Salio jipya ni Ksh820.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch15,2026-06-23
"AGT5K3PTA Confirmed. Ksh480.00 paid to TUSKYS SUPERMARKET. on 23/6/26 at 6:30 PM. New M-PESA balance is Ksh940.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"NHT9P6XTA Confirmed. Ksh3,840.00 paid to CARREFOUR HYPERMARKET. on 23/6/26 at 8:15 AM. New M-PESA balance is Ksh1,880.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"Imethibitishwa. Ksh790.00 imelipwa kwa QUICKMART STORES. tarehe 23/6/26 saa 13:50. Salio jipya ni Ksh3,210.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch15,2026-06-23
"PLM4Q9TTA Confirmed. Ksh1,420.00 paid to NAIVAS SUPERMARKET LIMITED. on 23/6/26 at 10:20 AM. New M-PESA balance is Ksh950.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"RXTQ4P9TA Confirmed. Ksh330.00 paid to CHANDARANA SUPERMARKET. on 23/6/26 at 3:45 PM. New M-PESA balance is Ksh420.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"Imethibitishwa. Ksh2,560.00 imelipwa kwa MR PRICE CLOTHING STORE. tarehe 23/6/26 saa 9:10. Salio jipya ni Ksh1,915.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch15,2026-06-23
"7KXTQ9MTA Confirmed. Ksh940.00 paid to TUSKYS SUPERMARKET. on 23/6/26 at 12:00 PM. New M-PESA balance is Ksh545.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"NPXT6K3TA Confirmed. Ksh4,150.00 paid to CARREFOUR HYPERMARKET. on 23/6/26 at 5:05 PM. New M-PESA balance is Ksh1,140.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch15,2026-06-23
"Imethibitishwa. Ksh550.00 imelipwa kwa QUICKMART STORES. tarehe 23/6/26 saa 7:15. Salio jipya ni Ksh2,310.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch15,2026-06-23
