message_text,label,language,fraud_category,source,date_collected
"TGH3K9XVA Confirmed. Ksh650.00 paid to CHICKEN INN. on 23/6/26 at 9:35 AM. New M-PESA balance is Ksh1,205.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch17,2026-06-23
"QML7P2NVA Confirmed. Ksh300.00 paid to JAVA HOUSE. on 23/6/26 at 11:00 AM. New M-PESA balance is Ksh740.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch17,2026-06-23
"Imethibitishwa. Ksh520.00 imelipwa kwa KFC KENYA. tarehe 23/6/26 saa 11:25. Salio jipya ni Ksh940.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch17,2026-06-23
"RKT4Q9WVA Confirmed. Ksh1,200.00 paid to GALITOS CHICKEN. on 23/6/26 at 1:30 PM. New M-PESA balance is Ksh2,650.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch17,2026-06-23
"NHX8M3LVA Confirmed. Ksh180.00 paid to PIZZA INN. on 23/6/26 at 2:55 PM. New M-PESA balance is Ksh1,350.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch17,2026-06-23
"Imethibitishwa. Ksh450.00 imelipwa kwa ARTCAFFE. tarehe 23/6/26 saa 8:45. Salio jipya ni Ksh940.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch17,2026-06-23
"OPZ5R7XVA Confirmed. Ksh800.00 paid to BURGER KING. on 23/6/26 at 3:20 PM. New M-PESA balance is Ksh750.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch17,2026-06-23
"FGL2K9YVA Confirmed. Ksh260.00 paid to JAVA HOUSE. on 23/6/26 at 8:50 AM. New M-PESA balance is Ksh1,210.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch17,2026-06-23
"Imethibitishwa. Ksh700.00 imelipwa kwa CHICKEN INN. tarehe 23/6/26 saa 13:20. Salio jipya ni Ksh1,580.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch17,2026-06-23
"DHK4M8NVA Confirmed. Ksh1,500.00 paid to KFC KENYA. on 23/6/26 at 1:05 PM. New M-PESA balance is Ksh1,940.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch17,2026-06-23
"WLN9P2KVA Confirmed. Ksh220.00 paid to PIZZA INN. on 23/6/26 at 8:00 AM. New M-PESA balance is Ksh615.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch17,2026-06-23
"Imethibitishwa. Ksh900.00 imelipwa kwa GALITOS CHICKEN. tarehe 23/6/26 saa 16:35. Salio jipya ni Ksh1,330.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch17,2026-06-23
