message_text,label,language,fraud_category,source,date_collected
"TGH3K9XPW Confirmed. Ksh5,000.00 withdrawn from agent FAITH MWANGI Shop, Thika. on 23/6/26 at 9:40 AM. New M-PESA balance is Ksh420.00. Transaction cost, Ksh28.00.",legit,en,n/a,legit_batch5,2026-06-23
"QML7P2NXW Confirmed. Ksh2,000.00 withdrawn from agent SAMUEL KIPRONO Shop, Westlands. on 23/6/26 at 11:00 AM. New M-PESA balance is Ksh890.00. Transaction cost, Ksh22.00.",legit,en,n/a,legit_batch5,2026-06-23
"Imethibitishwa. Ksh1,000.00 imetolewa kutoka wakala AGNES MUTHONI Shop, Kisumu. tarehe 23/6/26 saa 13:35. Salio jipya ni Ksh1,300.00. Gharama, Ksh15.00.",legit,sw,n/a,legit_batch5,2026-06-23
"RKT4Q9WPX Confirmed. Ksh10,000.00 withdrawn from agent PETER KIMANI Shop, Mombasa. on 23/6/26 at 3:00 PM. New M-PESA balance is Ksh650.00. Transaction cost, Ksh95.00.",legit,en,n/a,legit_batch5,2026-06-23
"NHX8M3LTX Confirmed. Ksh500.00 withdrawn from agent GRACE WANJIRU Shop, Nakuru. on 23/6/26 at 8:50 AM. New M-PESA balance is Ksh1,350.00. Transaction cost, Ksh11.00.",legit,en,n/a,legit_batch5,2026-06-23
"Imethibitishwa. Ksh3,000.00 imetolewa kutoka wakala BRIAN OTIENO Shop, Eldoret. tarehe 23/6/26 saa 11:25. Salio jipya ni Ksh940.00. Gharama, Ksh33.00.",legit,sw,n/a,legit_batch5,2026-06-23
"OPZ5R7XWX Confirmed. Ksh7,500.00 withdrawn from agent MARY NJOKI Shop, Nyeri. on 23/6/26 at 3:25 PM. New M-PESA balance is Ksh1,750.00. Transaction cost, Ksh71.00.",legit,en,n/a,legit_batch5,2026-06-23
"FGL2K9YTX Confirmed. Ksh200.00 withdrawn from agent ESTHER WAMBUI Shop, Machakos. on 23/6/26 at 8:45 AM. New M-PESA balance is Ksh1,210.00. Transaction cost, Ksh7.00.",legit,en,n/a,legit_batch5,2026-06-23
"Imethibitishwa. Ksh4,000.00 imetolewa kutoka wakala DENNIS MWANGI Shop, Meru. tarehe 23/6/26 saa 13:20. Salio jipya ni Ksh1,580.00. Gharama, Ksh40.00.",legit,sw,n/a,legit_batch5,2026-06-23
"DHK4M8NPX Confirmed. Ksh15,000.00 withdrawn from agent JOSEPH KARANJA Shop, Kakamega. on 23/6/26 at 1:00 PM. New M-PESA balance is Ksh2,940.00. Transaction cost, Ksh140.00.",legit,en,n/a,legit_batch5,2026-06-23
"WLN9P2KXX Confirmed. Ksh1,500.00 withdrawn from agent CAROLINE NJOKI Shop, Kitale. on 23/6/26 at 7:55 AM. New M-PESA balance is Ksh615.00. Transaction cost, Ksh18.00.",legit,en,n/a,legit_batch5,2026-06-23
"Imethibitishwa. Ksh8,000.00 imetolewa kutoka wakala STELLA NYAMBURA Shop, Garissa. tarehe 23/6/26 saa 16:30. Salio jipya ni Ksh1,330.00. Gharama, Ksh77.00.",legit,sw,n/a,legit_batch5,2026-06-23
"JBM6T1ZQX Confirmed. Ksh600.00 withdrawn from agent FRANCIS MUTUA Shop, Embu. on 23/6/26 at 9:55 AM. New M-PESA balance is Ksh930.00. Transaction cost, Ksh11.00.",legit,en,n/a,legit_batch5,2026-06-23
"YGT3K9MWX Confirmed. Ksh6,000.00 withdrawn from agent LUCY NJAMBI Shop, Nanyuki. on 23/6/26 at 4:30 PM. New M-PESA balance is Ksh1,330.00. Transaction cost, Ksh58.00.",legit,en,n/a,legit_batch5,2026-06-23
"Imethibitishwa. Ksh1,200.00 imetolewa kutoka wakala RAMADHANI ISSA Shop, Tanga. tarehe 23/6/26 saa 9:55. Salio jipya ni Ksh930.00. Gharama, Ksh15.00.",legit,sw,n/a,legit_batch5,2026-06-23
"VKQ8R4NTX Confirmed. Ksh3,500.00 withdrawn from agent ASHA MWALIMU Shop, Dodoma. on 23/6/26 at 11:35 AM. New M-PESA balance is Ksh1,420.00. Transaction cost, Ksh33.00.",legit,en,n/a,legit_batch5,2026-06-23
"ZWQ7M2PXX Confirmed. Ksh900.00 withdrawn from agent NEEMA KASSIM Shop, Arusha. on 23/6/26 at 2:20 PM. New M-PESA balance is Ksh615.00. Transaction cost, Ksh11.00.",legit,en,n/a,legit_batch5,2026-06-23
"Imethibitishwa. Ksh2,500.00 imetolewa kutoka wakala JOSEPH KARANJA Shop, Kericho. tarehe 23/6/26 saa 17:05. Salio jipya ni Ksh820.00. Gharama, Ksh25.00.",legit,sw,n/a,legit_batch5,2026-06-23
"AGT5K3PWX Confirmed. Ksh400.00 withdrawn from agent STELLA NYAMBURA Shop, Bungoma. on 23/6/26 at 6:25 PM. New M-PESA balance is Ksh1,140.00. Transaction cost, Ksh7.00.",legit,en,n/a,legit_batch5,2026-06-23
"NHT9P6XQX Confirmed. Ksh12,000.00 withdrawn from agent FRANCIS MUTUA Shop, Kiambu. on 23/6/26 at 8:10 AM. New M-PESA balance is Ksh1,980.00. Transaction cost, Ksh111.00.",legit,en,n/a,legit_batch5,2026-06-23
"Imethibitishwa. Ksh700.00 imetolewa kutoka wakala LUCY NJAMBI Shop, Kapsabet. tarehe 23/6/26 saa 13:45. Salio jipya ni Ksh3,260.00. Gharama, Ksh11.00.",legit,sw,n/a,legit_batch5,2026-06-23
"PLM4Q9TXX Confirmed. Ksh2,800.00 withdrawn from agent RAMADHANI ISSA Shop, Mwanza. on 23/6/26 at 10:15 AM. New M-PESA balance is Ksh1,250.00. Transaction cost, Ksh27.00.",legit,en,n/a,legit_batch5,2026-06-23
"RXTQ4P9MX Confirmed. Ksh300.00 withdrawn from agent ASHA MWALIMU Shop, Voi. on 23/6/26 at 3:40 PM. New M-PESA balance is Ksh440.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch5,2026-06-23
"Imethibitishwa. Ksh5,500.00 imetolewa kutoka wakala NEEMA KASSIM Shop, Malindi. tarehe 23/6/26 saa 9:05. Salio jipya ni Ksh2,015.00. Gharama, Ksh51.00.",legit,sw,n/a,legit_batch5,2026-06-23
"7KXTQ9MPX Confirmed. Ksh1,000.00 withdrawn from agent JOSEPH KARANJA Shop, Lamu. on 23/6/26 at 11:55 AM. New M-PESA balance is Ksh795.00. Transaction cost, Ksh15.00.",legit,en,n/a,legit_batch5,2026-06-23
"NPXT6K3MX Confirmed. Ksh9,500.00 withdrawn from agent STELLA NYAMBURA Shop, Naivasha. on 23/6/26 at 5:00 PM. New M-PESA balance is Ksh1,640.00. Transaction cost, Ksh87.00.",legit,en,n/a,legit_batch5,2026-06-23
"Imethibitishwa. Ksh450.00 imetolewa kutoka wakala FRANCIS MUTUA Shop, Migori. tarehe 23/6/26 saa 7:15. Salio jipya ni Ksh2,330.00. Gharama, Ksh7.00.",legit,sw,n/a,legit_batch5,2026-06-23
"KQXT9M3PX Confirmed. Ksh4,200.00 withdrawn from agent LUCY NJAMBI Shop, Bomet. on 23/6/26 at 12:35 PM. New M-PESA balance is Ksh980.00. Transaction cost, Ksh40.00.",legit,en,n/a,legit_batch5,2026-06-23
"DHKQ9XPMX Confirmed. Ksh800.00 withdrawn from agent RAMADHANI ISSA Shop, Isiolo. on 23/6/26 at 9:00 AM. New M-PESA balance is Ksh510.00. Transaction cost, Ksh11.00.",legit,en,n/a,legit_batch5,2026-06-23
