message_text,label,language,fraud_category,source,date_collected
"Bonyeza link hii kuthibitisha akaunti yako ya M-Pesa: m-pesa-verify-secure.com ndani ya masaa 2 ama akaunti itafungwa kabisa.",fraud,sw,phishing_link,batch5_ai,2026-06-23
"Click here to confirm your M-Pesa account details and avoid suspension: bit.ly/mpesa-confirm26",fraud,en,phishing_link,batch5_ai,2026-06-23
"buda fungua hii link sasa kuverify account yako: m-pesa-update-now.com kabla ifungwe leo jioni",fraud,sheng,phishing_link,batch5_ai,2026-06-23
"Your M-Pesa account requires immediate verification. Visit safaricom-secure-portal.com to update your information and avoid losing access.",fraud,en,phishing_link,batch5_ai,2026-06-23
"Tahadhari: Akaunti yako imeonekana na hatari ya udanganyifu. Tembelea m-pesa-secure-check.com kuthibitisha umiliki wako sasa.",fraud,sw,phishing_link,batch5_ai,2026-06-23
"mse hii link itakusave account yako: bit.ly/save-mpesa-acc, bonyeza sasa kabla system ifunge access yako",fraud,sheng,phishing_link,batch5_ai,2026-06-23
"M-PESA Important: Click this link to claim your loyalty bonus and verify your wallet: mpesa-bonus-claim.net",fraud,en,phishing_link,batch5_ai,2026-06-23
"Habari mteja, fungua hii tovuti kusasisha taarifa zako za M-Pesa: safaricom-kyc-update.com kabla huduma zako kusimamishwa.",fraud,sw,phishing_link,batch5_ai,2026-06-23
"buda system imeona namba yako, fungua link hii ndio uweze continue: m-pesa-renew-line.com sasa hivi bila kuchelewa",fraud,sheng,phishing_link,batch5_ai,2026-06-23
"Your account has a pending security alert. Open this secure link to resolve it now: safaricom-alert-resolve.com",fraud,en,phishing_link,batch5_ai,2026-06-23
"Tahadhari kutoka M-Shwari: Tembelea m-shwari-secure-login.com kuthibitisha akaunti yako kabla ya kupoteza huduma za mkopo.",fraud,sw,phishing_link,batch5_ai,2026-06-23
"buda bonyeza hii link kupata zawadi yako ya Bonyeza Promo: bit.ly/bonyeza-win-2026, valid leo tu",fraud,sheng,phishing_link,batch5_ai,2026-06-23
"M-PESA Notice: Your account login has expired. Re-login using this secure link to continue using mobile money services: mpesa-login-renew.com",fraud,en,phishing_link,batch5_ai,2026-06-23
"Habari, kuna update muhimu kwa M-Pesa app yako. Pakua sasa kupitia link hii: m-pesa-app-update.net kabla version ya zamani ifungwe.",fraud,sw,phishing_link,batch5_ai,2026-06-23
"mzee click hii link kuconfirm identity yako: safaricom-id-confirm.com, ukikosa account yako itafungwa moja kwa moja",fraud,sheng,phishing_link,batch5_ai,2026-06-23
"Your wallet balance shows an irregularity. Verify your transactions immediately at mpesa-transaction-check.com to avoid a freeze.",fraud,en,phishing_link,batch5_ai,2026-06-23
"Tahadhari: Akaunti yako ya Fuliza inahitaji uthibitisho wa haraka. Tembelea fuliza-secure-verify.com leo kuepuka kufungiwa.",fraud,sw,phishing_link,batch5_ai,2026-06-23
"buda hii ndio link sahihi ya kupata mkopo wa Hustler Fund mara moja: hustler-fund-instant.net, jaza form sasa",fraud,sheng,phishing_link,batch5_ai,2026-06-23
"M-PESA Security Update: Click below to install the latest security patch and protect your account: mpesa-security-patch.com",fraud,en,phishing_link,batch5_ai,2026-06-23
"Habari mteja, akaunti yako ina taarifa zisizo kamili. Fungua link hii kuongeza maelezo: safaricom-profile-update.com kabla saa sita.",fraud,sw,phishing_link,batch5_ai,2026-06-23
"niaje msee, fungua hii link upate cashback ya Ksh500 kutoka M-Pesa: bit.ly/mpesa-cashback-claim, leo pekee",fraud,sheng,phishing_link,batch5_ai,2026-06-23
