message_text,label,language,fraud_category,source,date_collected
"TGH3K9XPT Confirmed. Ksh2,500.00 paid to KPLC PREPAID for account 88213456 on 23/6/26 at 9:30 AM. New M-PESA balance is Ksh1,820.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch3,2026-06-23
"QML7P2NXT Confirmed. Ksh1,200.00 paid to NAIROBI WATER for account 55321 on 23/6/26 at 10:50 AM. New M-PESA balance is Ksh940.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch3,2026-06-23
"Imethibitishwa. Ksh4,500.00 imelipwa kwa NHIF Acc 67882134 tarehe 23/6/26 saa 11:15. Salio jipya ni Ksh2,300.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch3,2026-06-23
"RKT4Q9WPZ Confirmed. Ksh800.00 paid to ZUKU FIBER for account 990021 on 23/6/26 at 1:25 PM. New M-PESA balance is Ksh1,650.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch3,2026-06-23
"NHX8M3LTR Confirmed. Ksh15,000.00 paid to KCB BANK for account 4567892211 on 23/6/26 at 2:50 PM. New M-PESA balance is Ksh3,400.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch3,2026-06-23
"Imethibitishwa. Ksh650.00 imelipwa kwa DSTV KENYA Acc 7723109 tarehe 23/6/26 saa 8:40. Salio jipya ni Ksh940.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch3,2026-06-23
"OPZ5R7XWZ Confirmed. Ksh3,000.00 paid to NAIROBI HOSPITAL for account 33129087 on 23/6/26 at 3:15 PM. New M-PESA balance is Ksh1,750.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch3,2026-06-23
"FGL2K9YTR Confirmed. Ksh400.00 paid to GOTV KENYA for account 819234 on 23/6/26 at 8:35 AM. New M-PESA balance is Ksh1,210.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch3,2026-06-23
"Imethibitishwa. Ksh2,200.00 imelipwa kwa STARTIMES Acc 442109 tarehe 23/6/26 saa 13:10. Salio jipya ni Ksh1,580.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch3,2026-06-23
"DHK4M8NPT Confirmed. Ksh5,500.00 paid to EQUITY BANK for account 0112233445 on 23/6/26 at 12:55 PM. New M-PESA balance is Ksh2,940.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch3,2026-06-23
"WLN9P2KXT Confirmed. Ksh300.00 paid to KENYA POWER for account 99021 on 23/6/26 at 7:45 AM. New M-PESA balance is Ksh615.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch3,2026-06-23
"Imethibitishwa. Ksh3,800.00 imelipwa kwa AGA KHAN HOSPITAL Acc 887765 tarehe 23/6/26 saa 16:25. Salio jipya ni Ksh1,330.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch3,2026-06-23
