message_text,label,language,fraud_category,source,date_collected
"TGH3K9XPU Confirmed. Ksh450.00 paid to NAIVAS SUPERMARKET. on 23/6/26 at 9:35 AM. New M-PESA balance is Ksh1,370.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch4,2026-06-23
"QML7P2NXU Confirmed. Ksh120.00 paid to MAMA MBOGA STALL. on 23/6/26 at 10:55 AM. New M-PESA balance is Ksh820.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch4,2026-06-23
"Imethibitishwa. Ksh890.00 imelipwa kwa CHICKEN INN. tarehe 23/6/26 saa 13:30. Salio jipya ni Ksh1,410.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch4,2026-06-23
"RKT4Q9WPV Confirmed. Ksh3,200.00 paid to TUSKYS SUPERMARKET. on 23/6/26 at 2:55 PM. New M-PESA balance is Ksh650.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch4,2026-06-23
"NHX8M3LTV Confirmed. Ksh65.00 paid to JAVA HOUSE. on 23/6/26 at 8:45 AM. New M-PESA balance is Ksh1,350.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch4,2026-06-23
"Imethibitishwa. Ksh550.00 imelipwa kwa KFC KENYA. tarehe 23/6/26 saa 11:20. Salio jipya ni Ksh940.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch4,2026-06-23
"OPZ5R7XWV Confirmed. Ksh1,500.00 paid to CARREFOUR. on 23/6/26 at 3:20 PM. New M-PESA balance is Ksh1,750.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch4,2026-06-23
"FGL2K9YTV Confirmed. Ksh200.00 paid to TOTAL ENERGIES PETROL STATION. on 23/6/26 at 8:40 AM. New M-PESA balance is Ksh1,210.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch4,2026-06-23
"Imethibitishwa. Ksh330.00 imelipwa kwa QUICKMART. tarehe 23/6/26 saa 13:15. Salio jipya ni Ksh1,580.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch4,2026-06-23
"DHK4M8NPV Confirmed. Ksh4,000.00 paid to NAIVAS SUPERMARKET. on 23/6/26 at 1:00 PM. New M-PESA balance is Ksh1,940.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch4,2026-06-23
"WLN9P2KXV Confirmed. Ksh90.00 paid to CHANDARANA SUPERMARKET. on 23/6/26 at 7:50 AM. New M-PESA balance is Ksh615.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch4,2026-06-23
"Imethibitishwa. Ksh700.00 imelipwa kwa GALITOS CHICKEN. tarehe 23/6/26 saa 16:30. Salio jipya ni Ksh1,330.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch4,2026-06-23
"JBM6T1ZQV Confirmed. Ksh250.00 paid to PIZZA INN. on 23/6/26 at 9:55 AM. New M-PESA balance is Ksh930.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch4,2026-06-23
"YGT3K9MWV Confirmed. Ksh1,800.00 paid to NAIVAS SUPERMARKET. on 23/6/26 at 4:30 PM. New M-PESA balance is Ksh1,330.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch4,2026-06-23
"Imethibitishwa. Ksh410.00 imelipwa kwa MR PRICE SHOP. tarehe 23/6/26 saa 9:55. Salio jipya ni Ksh930.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch4,2026-06-23
"VKQ8R4NTV Confirmed. Ksh2,300.00 paid to CARREFOUR. on 23/6/26 at 11:35 AM. New M-PESA balance is Ksh1,420.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch4,2026-06-23
"ZWQ7M2PXV Confirmed. Ksh175.00 paid to MAMA MBOGA STALL. on 23/6/26 at 2:20 PM. New M-PESA balance is Ksh615.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch4,2026-06-23
"Imethibitishwa. Ksh520.00 imelipwa kwa BURGER KING. tarehe 23/6/26 saa 17:05. Salio jipya ni Ksh820.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch4,2026-06-23
"AGT5K3PWV Confirmed. Ksh3,500.00 paid to QUICKMART. on 23/6/26 at 6:25 PM. New M-PESA balance is Ksh1,140.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch4,2026-06-23
