message_text,label,language,fraud_category,source,date_collected
"Habari mteja, mkopo wako wa Ksh18,000 umeidhinishwa na M-Shwari. Tuma Ksh550 ada ya bima kwa 0712334488 ili pesa ziingie akaunti yako sasa.",fraud,sw,fake_loan,batch2_ai,2026-06-23
"Congratulations! Your KCB M-Pesa loan of Ksh22,500 has been approved. Send Ksh700 processing fee to 0745998811 to release funds instantly.",fraud,en,fake_loan,batch2_ai,2026-06-23
"buda mkopo wako wa Fuliza umeapprove Ksh10,000, tuma Ksh300 activation kwa 0701887744 ndio pesa iingie sasa hivi",fraud,sheng,fake_loan,batch2_ai,2026-06-23
"Tahadhari: Mkopo wako wa Ksh35,000 kupitia Tala umekubaliwa. Lipa Ksh900 ada ya usajili kwa Paybill 556677 Acc LOAN2026 kabla saa moja.",fraud,sw,fake_loan,batch2_ai,2026-06-23
"Your Branch loan application of Ksh28,000 is approved pending a Ksh650 insurance deposit. Send to 0789556699 to receive your money today.",fraud,en,fake_loan,batch2_ai,2026-06-23
"mse hii M-Koba imeapprove deni lako la Ksh15,000, piga Ksh400 kwa namba 0712445599 ndio uweze kupata doh leo",fraud,sheng,fake_loan,batch2_ai,2026-06-23
"Habari, Okoa Jahazi loan ya Ksh12,500 imeidhinishwa. Tuma Ksh350 verification fee kwa 0734667722 kuthibitisha akaunti kabla kupokea pesa.",fraud,sw,fake_loan,batch2_ai,2026-06-23
"Zenka loan alert: Your Ksh20,000 loan is ready for disbursement. Send Ksh500 clearance fee to 0701223399 to unlock the funds now.",fraud,en,fake_loan,batch2_ai,2026-06-23
"buda Mshwari imeongeza limit yako mpaka Ksh50,000, lakini lazima ulipe Ksh1,200 deposit insurance kwa 0745889922 kabla pesa iingie",fraud,sheng,fake_loan,batch2_ai,2026-06-23
"Habari mteja, mkopo wako wa haraka wa Ksh9,000 kupitia Hustler Fund umeidhinishwa. Tuma Ksh250 ada ya kuthibitisha namba kwa 0712998877.",fraud,sw,fake_loan,batch2_ai,2026-06-23
"Your Saccos emergency loan of Ksh40,000 has been approved. A Ksh1,000 legal fee must be sent to 0789221144 before disbursement today.",fraud,en,fake_loan,batch2_ai,2026-06-23
"niaje msee, KCB imeapprove mkopo wako Ksh17,500, tuma Ksh450 processing kwa 0701556633 ndio pesa ifike leo leo",fraud,sheng,fake_loan,batch2_ai,2026-06-23
