message_text,label,language,fraud_category,source,date_collected
"Vodacom M-Pesa: Umejiunga na huduma ya M-Pesa Bonus. Pointi zako ni 450. Badilisha pointi kwa vocha za simu kwa kupiga *150*00#.",legit,sw,n/a,legit_batch18,2026-06-23
"Safaricom Bonga Points: You have earned 120 points from your transactions this month. Dial *126# to redeem for airtime or data bundles.",legit,en,n/a,legit_batch18,2026-06-23
"Habari, umepata pointi 80 za Bonga kutoka matumizi yako ya wiki hii. Piga *126# kubadilisha pointi kwa muda wa maongezi.",legit,sw,n/a,legit_batch18,2026-06-23
"Safaricom Bonga Points: Your point balance is now 560. Redeem them for free SMS bundles, data, or airtime by dialing *126#.",legit,en,n/a,legit_batch18,2026-06-23
"Airtel Smart Cash: You have earned 200 reward points from your recent recharges. Redeem them for airtime by dialing *222#.",legit,en,n/a,legit_batch18,2026-06-23
"Vodacom M-Pesa: Pointi zako za uongozaji ni 320. Badilisha kwa vocha za data kwa kupiga *150*00# kabla ya tarehe 30/6/26.",legit,sw,n/a,legit_batch18,2026-06-23
"Safaricom Bonga Points: Congratulations, you've reached 1,000 points! Redeem for a free smartphone upgrade voucher by dialing *126#.",legit,en,n/a,legit_batch18,2026-06-23
"Habari mteja, umefikisha pointi 700 za Bonga. Unaweza kubadilisha kwa vocha ya simu mpya kwa kupiga *126# leo.",legit,sw,n/a,legit_batch18,2026-06-23
"Telkom Kenya: Your loyalty points balance is 95 points. Dial *160# to redeem them for airtime or data bundle discounts.",legit,en,n/a,legit_batch18,2026-06-23
"Safaricom Bonga Points: You have earned 50 bonus points for using M-PESA this week. Dial *126# to check your full point balance.",legit,en,n/a,legit_batch18,2026-06-23
"Vodacom M-Pesa: Umepata pointi 150 kutoka muamala wako wa M-Pesa wiki hii. Badilisha kwa vocha kwa kupiga *150*00#.",legit,sw,n/a,legit_batch18,2026-06-23
"Airtel Smart Cash: Your loyalty points have reached 410. Redeem for free airtime or mobile data by dialing *222# today.",legit,en,n/a,legit_batch18,2026-06-23
"Safaricom Bonga Points: Your points balance is 280. Redeem for free voice minutes by dialing *126# before they expire on 31/7/26.",legit,en,n/a,legit_batch18,2026-06-23
"Habari, pointi zako za Bonga zimefika 600. Zitumie kwa vocha za data kwa kupiga *126# kabla zimalize muda.",legit,sw,n/a,legit_batch18,2026-06-23
"Telkom Kenya: You have earned 65 reward points from your airtime purchases this month. Dial *160# to redeem for discounts.",legit,en,n/a,legit_batch18,2026-06-23
"Vodacom M-Pesa: Pointi zako za M-Pesa Bonus ni 510. Tumia kwa vocha za muda wa maongezi kwa kupiga *150*00# leo.",legit,sw,n/a,legit_batch18,2026-06-23
"Safaricom Bonga Points: Congratulations, you've earned enough points for a free data bundle. Dial *126# to claim your reward now.",legit,en,n/a,legit_batch18,2026-06-23
"Habari mteja, umepata zawadi ya bure ya data bundle kupitia pointi zako za Bonga. Piga *126# kudai zawadi yako sasa.",legit,sw,n/a,legit_batch18,2026-06-23
"Airtel Smart Cash: Your point balance now stands at 340. Redeem for SMS bundles or airtime discounts by dialing *222# today.",legit,en,n/a,legit_batch18,2026-06-23
"Safaricom Bonga Points: You earned 30 points from your recent shop visit. Total balance is now 410 points. Dial *126# to redeem.",legit,en,n/a,legit_batch18,2026-06-23
"Vodacom M-Pesa: Pointi zako za uongozaji ni 220. Zitumie kabla ya mwezi huu kuisha kwa kupiga *150*00#.",legit,sw,n/a,legit_batch18,2026-06-23
"Telkom Kenya: Your loyalty rewards balance has reached 130 points. Dial *160# to redeem for free SMS or call minutes.",legit,en,n/a,legit_batch18,2026-06-23
"Safaricom Bonga Points: Your points have been topped up by 90 from this week's transactions. New balance is 720 points.",legit,en,n/a,legit_batch18,2026-06-23
"Habari, umefikisha pointi 380 za Bonga kutoka matumizi ya mwezi huu. Piga *126# kuangalia chaguo za kubadilisha.",legit,sw,n/a,legit_batch18,2026-06-23
"Vodacom M-Pesa: Umejiunga na huduma ya M-Pesa Bonus mwezi huu. Pointi zako za awali ni 100. Badilisha kwa kupiga *150*00#.",legit,sw,n/a,legit_batch18,2026-06-23
"Safaricom Bonga Points: Your points balance is now 890. Redeem for free voice bundles by dialing *126# anytime this month.",legit,en,n/a,legit_batch18,2026-06-23
"Airtel Smart Cash: You have accumulated 175 points from recent recharges. Redeem for airtime by dialing *222# before they expire.",legit,en,n/a,legit_batch18,2026-06-23
"Habari mteja, pointi zako za Bonga zimefika 950. Unastahili zawadi maalum, piga *126# kuangalia chaguo zilizopo.",legit,sw,n/a,legit_batch18,2026-06-23
"Telkom Kenya: Your loyalty points balance has grown to 210. Dial *160# to redeem for data bundle discounts this month.",legit,en,n/a,legit_batch18,2026-06-23
"Safaricom Bonga Points: You earned 40 points today from your transaction. Total balance is 460 points. Dial *126# for redemption options.",legit,en,n/a,legit_batch18,2026-06-23
"Vodacom M-Pesa: Pointi zako za uongozaji zimefika 290. Tumia kabla ya kuisha mwezi huu kwa kupiga *150*00#.",legit,sw,n/a,legit_batch18,2026-06-23
"Airtel Smart Cash: Your reward points balance has reached 520. Redeem for free airtime or data bundles by dialing *222# today.",legit,en,n/a,legit_batch18,2026-06-23
"Safaricom Bonga Points: Congratulations on reaching 1,500 points! Redeem for a special device discount voucher by dialing *126#.",legit,en,n/a,legit_batch18,2026-06-23
"Habari, pointi zako za Bonga zimefika 1,200. Una sifa ya kupata vocha maalum ya simu, piga *126# kuangalia.",legit,sw,n/a,legit_batch18,2026-06-23
"Telkom Kenya: You have earned 55 points from your latest top-up. Total balance is 175 points. Dial *160# to redeem rewards.",legit,en,n/a,legit_batch18,2026-06-23
"Vodacom M-Pesa: Umejiunga tena na huduma ya M-Pesa Bonus. Pointi zako mpya ni 60. Badilisha kwa kupiga *150*00#.",legit,sw,n/a,legit_batch18,2026-06-23
"Safaricom Bonga Points: Your balance is now 340 points after this week's transactions. Dial *126# to redeem for airtime now.",legit,en,n/a,legit_batch18,2026-06-23
"Airtel Smart Cash: Your loyalty points have grown to 260. Redeem for SMS bundles or airtime discounts by dialing *222# today.",legit,en,n/a,legit_batch18,2026-06-23
"Habari mteja, umefikisha pointi 480 za Bonga kutoka matumizi yako ya wiki hii. Piga *126# kuangalia chaguo za zawadi.",legit,sw,n/a,legit_batch18,2026-06-23
"Telkom Kenya: Your loyalty points balance is now 190. Dial *160# to redeem for free SMS bundles or call minute discounts.",legit,en,n/a,legit_batch18,2026-06-23
"Safaricom Bonga Points: You earned 65 points today. Total balance is 530 points. Dial *126# anytime to view redemption options.",legit,en,n/a,legit_batch18,2026-06-23
"Vodacom M-Pesa: Pointi zako za uongozaji zimefika 410. Tumia kwa vocha za data kabla ya tarehe 31/7/26 kwa kupiga *150*00#.",legit,sw,n/a,legit_batch18,2026-06-23
