message_text,label,language,fraud_category,source,date_collected
"TGH3K9XPY Confirmed. You bought Ksh100.00 of airtime on 23/6/26 at 9:45 AM. New M-PESA balance is Ksh1,270.00.",legit,en,n/a,legit_batch6,2026-06-23
"QML7P2NXY Confirmed. You bought Ksh250.00 of airtime on 23/6/26 at 11:05 AM. New M-PESA balance is Ksh570.00.",legit,en,n/a,legit_batch6,2026-06-23
"Imethibitishwa. Umenunua Ksh50.00 ya muda wa maongezi tarehe 23/6/26 saa 13:40. Salio jipya la M-PESA ni Ksh1,250.00.",legit,sw,n/a,legit_batch6,2026-06-23
"RKT4Q9WPZ Confirmed. You bought Ksh500.00 of airtime on 23/6/26 at 3:05 PM. New M-PESA balance is Ksh150.00.",legit,en,n/a,legit_batch6,2026-06-23
"NHX8M3LTZ Confirmed. You bought Ksh20.00 of airtime on 23/6/26 at 8:55 AM. New M-PESA balance is Ksh1,330.00.",legit,en,n/a,legit_batch6,2026-06-23
"Imethibitishwa. Umenunua Ksh200.00 ya muda wa maongezi tarehe 23/6/26 saa 11:30. Salio jipya ni Ksh740.00.",legit,sw,n/a,legit_batch6,2026-06-23
"OPZ5R7XWZ Confirmed. You bought Ksh1,000.00 of airtime on 23/6/26 at 3:30 PM. New M-PESA balance is Ksh750.00.",legit,en,n/a,legit_batch6,2026-06-23
"FGL2K9YTZ Confirmed. You bought Ksh50.00 of airtime on 23/6/26 at 8:50 AM. New M-PESA balance is Ksh1,360.00.",legit,en,n/a,legit_batch6,2026-06-23
"Imethibitishwa. Umenunua Ksh100.00 ya muda wa maongezi tarehe 23/6/26 saa 13:25. Salio jipya ni Ksh1,480.00.",legit,sw,n/a,legit_batch6,2026-06-23
"DHK4M8NPZ Confirmed. You bought Ksh300.00 of airtime on 23/6/26 at 1:10 PM. New M-PESA balance is Ksh2,640.00.",legit,en,n/a,legit_batch6,2026-06-23
"WLN9P2KXZ Confirmed. You bought Ksh20.00 of airtime on 23/6/26 at 8:00 AM. New M-PESA balance is Ksh595.00.",legit,en,n/a,legit_batch6,2026-06-23
"Imethibitishwa. Umenunua Ksh250.00 ya muda wa maongezi tarehe 23/6/26 saa 16:35. Salio jipya ni Ksh1,080.00.",legit,sw,n/a,legit_batch6,2026-06-23
"JBM6T1ZQZ Confirmed. You bought Ksh50.00 of airtime on 23/6/26 at 10:00 AM. New M-PESA balance is Ksh880.00.",legit,en,n/a,legit_batch6,2026-06-23
"YGT3K9MWZ Confirmed. You bought Ksh500.00 of airtime on 23/6/26 at 4:35 PM. New M-PESA balance is Ksh830.00.",legit,en,n/a,legit_batch6,2026-06-23
"Imethibitishwa. Umenunua Ksh20.00 ya muda wa maongezi tarehe 23/6/26 saa 10:00. Salio jipya ni Ksh910.00.",legit,sw,n/a,legit_batch6,2026-06-23
