message_text,label,language,fraud_category,source,date_collected
"Salamu kutoka HR, umepata kazi ya Online Data Entry, mshahara Ksh45,000 kwa wiki. Tuma Ksh1,200 ada ya vifaa kwa Paybill 556677 Acc DATAJOB.",fraud,sw,fake_online_data_entry_job,batch21_ai,2026-06-23
"Congratulations, you've been hired for a remote data entry job paying Ksh40,000 weekly. Send Ksh1,000 starter kit fee to 0712334455.",fraud,en,fake_online_data_entry_job,batch21_ai,2026-06-23
"buda kuna kazi ya typing online inalipa Ksh35,000 kwa wiki, tuma Ksh800 starter kit kwa namba 0745998822 leo",fraud,sheng,fake_online_data_entry_job,batch21_ai,2026-06-23
"Habari, umepata kazi ya data entry ya nyumbani mshahara Ksh50,000 kwa mwezi. Tuma Ksh1,500 ada ya training kwa namba 0701887744.",fraud,sw,fake_online_data_entry_job,batch21_ai,2026-06-23
"Work from home opportunity: Type 500 words daily and earn Ksh38,000 weekly. Send Ksh950 registration fee to 0789556699 to start.",fraud,en,fake_online_data_entry_job,batch21_ai,2026-06-23
"mse kuna kazi ya online survey inalipa Ksh30,000 kwa wiki, tuma Ksh700 ada ya usajili kwa namba 0712445599 leo",fraud,sheng,fake_online_data_entry_job,batch21_ai,2026-06-23
"Habari mteja, umechaguliwa kufanya kazi ya online form filling, mshahara Ksh42,000 kwa wiki. Tuma Ksh1,100 ada kwa namba 0734667722.",fraud,sw,fake_online_data_entry_job,batch21_ai,2026-06-23
"Earn Ksh48,000 weekly typing simple documents from home. Send Ksh1,300 equipment fee to 0701223399 to receive your starter kit.",fraud,en,fake_online_data_entry_job,batch21_ai,2026-06-23
"buda hii ni job ya copy-paste online, mshahara Ksh33,000 kwa wiki, tuma Ksh850 ada ya kifaa kwa namba 0745889922 leo",fraud,sheng,fake_online_data_entry_job,batch21_ai,2026-06-23
"Habari, kuna kazi ya online captcha entry inalipa Ksh28,000 kwa wiki. Tuma Ksh650 ada ya usajili kwa namba 0712998877 leo.",fraud,sw,fake_online_data_entry_job,batch21_ai,2026-06-23
"You've been selected for a Ksh55,000 weekly online transcription job. Send Ksh1,400 software access fee to 0789221144 to begin.",fraud,en,fake_online_data_entry_job,batch21_ai,2026-06-23
"niaje msee, kuna data entry job mshahara Ksh37,000 kwa wiki, tuma Ksh900 starter fee kwa namba 0701556633 leo",fraud,sheng,fake_online_data_entry_job,batch21_ai,2026-06-23
"Habari mteja, umepata kazi ya online research paying Ksh44,000 kwa wiki. Tuma Ksh1,150 ada ya kuregister kwa namba 0745112277.",fraud,sw,fake_online_data_entry_job,batch21_ai,2026-06-23
"Remote job alert: Excel data entry position paying Ksh46,000 weekly. Send Ksh1,250 training material fee to 0712889933 to start.",fraud,en,fake_online_data_entry_job,batch21_ai,2026-06-23
"buda kuna kazi ya online ads clicking inalipa Ksh25,000 kwa wiki, tuma Ksh600 ada ya account kwa namba 0734556688.",fraud,sheng,fake_online_data_entry_job,batch21_ai,2026-06-23
"Habari, umechaguliwa kufanya kazi ya online proofreading, mshahara Ksh39,000 kwa wiki. Tuma Ksh1,000 ada kwa namba 0701776655.",fraud,sw,fake_online_data_entry_job,batch21_ai,2026-06-23
"Work from your phone and earn Ksh32,000 weekly entering customer feedback. Send Ksh750 setup fee to 0745667711 to begin today.",fraud,en,fake_online_data_entry_job,batch21_ai,2026-06-23
"mzee kuna kazi ya online survey filling mshahara Ksh29,000 kwa wiki, tuma Ksh680 ada kwa namba 0789112255 leo",fraud,sheng,fake_online_data_entry_job,batch21_ai,2026-06-23
"Habari mteja, umepata kazi ya online catalog updating mshahara Ksh41,000 kwa wiki. Tuma Ksh1,080 ada kwa namba 0712334477.",fraud,sw,fake_online_data_entry_job,batch21_ai,2026-06-23
"Earn Ksh36,000 weekly verifying online listings from home. Send Ksh880 onboarding fee to 0701998822 to receive your assignment.",fraud,en,fake_online_data_entry_job,batch21_ai,2026-06-23
"buda hii ni kazi ya online product review, mshahara Ksh34,000 kwa wiki, tuma Ksh800 ada kwa namba 0745221199 leo.",fraud,sheng,fake_online_data_entry_job,batch21_ai,2026-06-23
"Habari, umechaguliwa kufanya kazi ya online voice typing mshahara Ksh43,000 kwa wiki. Tuma Ksh1,120 ada kwa namba 0734998866.",fraud,sw,fake_online_data_entry_job,batch21_ai,2026-06-23
"You can earn Ksh52,000 weekly entering medical billing codes remotely. Send Ksh1,350 software fee to 0712667744 to get access.",fraud,en,fake_online_data_entry_job,batch21_ai,2026-06-23
"niaje buda, kuna kazi ya filling online forms mshahara Ksh31,000 kwa wiki, tuma Ksh750 ada kwa namba 0789556677 leo",fraud,sheng,fake_online_data_entry_job,batch21_ai,2026-06-23
"Habari mteja, umepata kazi ya online catalog photo tagging mshahara Ksh38,500 kwa wiki. Tuma Ksh980 ada kwa namba 0701445588.",fraud,sw,fake_online_data_entry_job,batch21_ai,2026-06-23
"Remote opportunity: Earn Ksh47,000 weekly inputting spreadsheet data. Send Ksh1,200 starter package fee to 0745889911 today.",fraud,en,fake_online_data_entry_job,batch21_ai,2026-06-23
"buda kuna kazi ya online customer support typing, mshahara Ksh40,000 kwa wiki, tuma Ksh1,050 ada kwa namba 0712998855.",fraud,sheng,fake_online_data_entry_job,batch21_ai,2026-06-23
"Habari, umechaguliwa kufanya kazi ya online translation entry mshahara Ksh49,000 kwa wiki. Tuma Ksh1,280 ada kwa namba 0734556699.",fraud,sw,fake_online_data_entry_job,batch21_ai,2026-06-23
"Online job vacancy: Email management role paying Ksh35,500 weekly. Send Ksh870 access fee to 0701887766 to start working today.",fraud,en,fake_online_data_entry_job,batch21_ai,2026-06-23
"mse hii ni kazi ya online inventory tracking mshahara Ksh32,500 kwa wiki, tuma Ksh790 ada kwa namba 0745112288 leo.",fraud,sheng,fake_online_data_entry_job,batch21_ai,2026-06-23
"Habari mteja, umepata kazi ya online ledger updating mshahara Ksh44,500 kwa wiki. Tuma Ksh1,180 ada kwa namba 0712445566.",fraud,sw,fake_online_data_entry_job,batch21_ai,2026-06-23
"Work-from-home job: Update online customer records and earn Ksh37,500 weekly. Send Ksh920 onboarding fee to 0789221166 now.",fraud,en,fake_online_data_entry_job,batch21_ai,2026-06-23
"buda kuna data entry job ya kuingiza order details mshahara Ksh33,500 kwa wiki, tuma Ksh820 ada kwa namba 0701556644.",fraud,sheng,fake_online_data_entry_job,batch21_ai,2026-06-23
"Habari, umechaguliwa kufanya kazi ya online chat support typing mshahara Ksh45,500 kwa wiki. Tuma Ksh1,170 ada kwa namba 0745667799.",fraud,sw,fake_online_data_entry_job,batch21_ai,2026-06-23
"Earn Ksh51,000 weekly entering insurance claims data from home. Send Ksh1,320 software license fee to 0712889944 to begin.",fraud,en,fake_online_data_entry_job,batch21_ai,2026-06-23
"niaje msee, kuna kazi ya online resume formatting mshahara Ksh30,500 kwa wiki, tuma Ksh720 ada kwa namba 0701998833 leo.",fraud,sheng,fake_online_data_entry_job,batch21_ai,2026-06-23
"Habari mteja, umepata kazi ya online accounting entry mshahara Ksh48,500 kwa wiki. Tuma Ksh1,240 ada kwa namba 0734221188.",fraud,sw,fake_online_data_entry_job,batch21_ai,2026-06-23
"Online vacancy: Social media content scheduling paying Ksh39,500 weekly. Send Ksh950 starter fee to 0745998822 to get started.",fraud,en,fake_online_data_entry_job,batch21_ai,2026-06-23
"buda kuna kazi ya online survey response entry mshahara Ksh27,500 kwa wiki, tuma Ksh650 ada kwa namba 0712556677 leo.",fraud,sheng,fake_online_data_entry_job,batch21_ai,2026-06-23
"Habari, umechaguliwa kufanya kazi ya online billing entry mshahara Ksh46,500 kwa wiki. Tuma Ksh1,200 ada kwa namba 0701445599.",fraud,sw,fake_online_data_entry_job,batch21_ai,2026-06-23
"Remote job: Online inventory data verification paying Ksh34,500 weekly. Send Ksh830 access fee to 0789112277 to receive tasks.",fraud,en,fake_online_data_entry_job,batch21_ai,2026-06-23
"niaje buda, kuna kazi ya online membership processing mshahara Ksh42,500 kwa wiki, tuma Ksh1,090 ada kwa namba 0745889933.",fraud,sheng,fake_online_data_entry_job,batch21_ai,2026-06-23
"Habari mteja, umepata kazi ya online appointment scheduling mshahara Ksh36,500 kwa wiki. Tuma Ksh900 ada kwa namba 0712998811.",fraud,sw,fake_online_data_entry_job,batch21_ai,2026-06-23
"Work from home job: Online product listing creation paying Ksh41,500 weekly. Send Ksh1,060 fee to 0701776644 to start today.",fraud,en,fake_online_data_entry_job,batch21_ai,2026-06-23
"buda hii ni kazi ya online subscriber list entry mshahara Ksh29,500 kwa wiki, tuma Ksh700 ada kwa namba 0734667733.",fraud,sheng,fake_online_data_entry_job,batch21_ai,2026-06-23
"Habari, umechaguliwa kufanya kazi ya online invoice processing mshahara Ksh43,500 kwa wiki. Tuma Ksh1,130 ada kwa namba 0745221177.",fraud,sw,fake_online_data_entry_job,batch21_ai,2026-06-23
"Earn Ksh53,500 weekly entering vendor payment records remotely. Send Ksh1,380 software fee to 0712334466 to gain access now.",fraud,en,fake_online_data_entry_job,batch21_ai,2026-06-23
"mse kuna kazi ya online claims data entry mshahara Ksh31,500 kwa wiki, tuma Ksh760 ada kwa namba 0701998811 leo.",fraud,sheng,fake_online_data_entry_job,batch21_ai,2026-06-23
