message_text,label,language,fraud_category,source,date_collected
"Habari, M-Shwari yako ina deni la zamani la Ksh4,500 ambalo halijalipwa. Lipa sasa kwa namba 0712334455 kabla ya kupelekwa CRB.",fraud,sw,fake_debt_collection,batch15_ai,2026-06-23
"Your Tala loan account has an outstanding balance of Ksh6,200. Pay now to 0745998822 to avoid being listed with CRB this week.",fraud,en,fake_debt_collection,batch15_ai,2026-06-23
"buda kuna deni la zamani la Ksh3,800 kwenye Branch app yako, lipa kwa namba 0701887744 leo kabla CRB ikuandike",fraud,sheng,fake_debt_collection,batch15_ai,2026-06-23
"Tahadhari kutoka Zenka: Akaunti yako ina deni lisilolipwa la Ksh5,500. Lipa kwa namba 0789556699 ndani ya masaa 24 kuepuka CRB.",fraud,sw,fake_debt_collection,batch15_ai,2026-06-23
"This is a final reminder from our debt collection unit. Your unpaid loan balance of Ksh7,800 must be cleared by 0712445599 today.",fraud,en,fake_debt_collection,batch15_ai,2026-06-23
"mse hii ni CRB department, deni lako la Ksh2,900 limechelewa, lipa kwa namba 0734667722 leo kabla yaongezeka penalty",fraud,sheng,fake_debt_collection,batch15_ai,2026-06-23
"Habari mteja, mkopo wako wa Okoa Jahazi una deni la Ksh3,200 lisilolipwa. Lipa kwa namba 0701223399 leo kabla hatua kuchukuliwa.",fraud,sw,fake_debt_collection,batch15_ai,2026-06-23
"URGENT: Your KCB M-Pesa loan default of Ksh9,500 will be reported to credit bureau unless paid to 0745889922 within 6 hours.",fraud,en,fake_debt_collection,batch15_ai,2026-06-23
"buda hii ni debt collector wa Fuliza, deni lako la Ksh4,100 lazima ulipie kwa namba 0712998877 leo bila kuchelewa",fraud,sheng,fake_debt_collection,batch15_ai,2026-06-23
"Tahadhari: Mkopo wako kupitia Hustler Fund haukutimizwa, deni la Ksh2,650 limesalia. Lipa kwa namba 0789221144 sasa.",fraud,sw,fake_debt_collection,batch15_ai,2026-06-23
"Notice from our recovery department: Your overdue loan of Ksh6,750 must be settled today via 0701556633 to avoid legal action.",fraud,en,fake_debt_collection,batch15_ai,2026-06-23
"niaje buda, M-Koba imekuripoti deni la Ksh3,450 lisilolipwa, lipa kwa namba 0745112277 leo kabla kesi kuanza",fraud,sheng,fake_debt_collection,batch15_ai,2026-06-23
"Habari mteja, kuna deni la Ksh5,900 kwenye akaunti yako ya Timiza ambalo halijalipwa kwa miezi miwili. Lipa kwa 0712889933.",fraud,sw,fake_debt_collection,batch15_ai,2026-06-23
