message_text,label,language,fraud_category,source,date_collected
"WEWE umechaguliwa kufanya kazi Dubai mshahara wa $2,500. Tuma Ksh4,000 ada ya visa kwa Paybill 567890 Acc JOBS2026 leo.",fraud,sw,job_recruitment_scam,batch20_ai,2026-06-23
"Job alert: You have been shortlisted for a well paying job in Qatar. Send Ksh5,500 processing fee via 0712334455 to secure slot.",fraud,en,job_recruitment_scam,batch20_ai,2026-06-23
"buda kazi Saudi Arabia inapatikana mshahara $700, tuma Ksh3,800 ada ya usafiri kwa namba 0745998822 leo kabla nafasi zijae",fraud,sheng,job_recruitment_scam,batch20_ai,2026-06-23
"Habari, kampuni ya kimataifa inakupa nafasi ya kazi ya usafi Saudi Arabia mshahara $600. Tuma Ksh4,500 ada ya visa kwa 0701887744.",fraud,sw,job_recruitment_scam,batch20_ai,2026-06-23
"Congratulations, you've been selected for a security guard position in Qatar with monthly pay of $900. Send Ksh6,200 fee to 0789556699.",fraud,en,job_recruitment_scam,batch20_ai,2026-06-23
"mse hii ni recruitment agency, kuna kazi ya construction Dubai, tuma Ksh3,500 processing kwa namba 0712445599 leo",fraud,sheng,job_recruitment_scam,batch20_ai,2026-06-23
"Habari, umepata nafasi ya kazi ya nyumbani Kuwait mshahara wa $650. Tuma Ksh5,000 ada ya kusafiri kwa namba 0734667722.",fraud,sw,job_recruitment_scam,batch20_ai,2026-06-23
"Job opportunity in UAE: Hotel staff needed urgently with $800 monthly salary. Send Ksh4,800 visa fee to 0701223399 to apply now.",fraud,en,job_recruitment_scam,batch20_ai,2026-06-23
"buda kuna kazi ya nurse Saudi mshahara mzuri, tuma Ksh5,200 ada ya documents kwa namba 0745889922 leo bila kuchelewa",fraud,sheng,job_recruitment_scam,batch20_ai,2026-06-23
"Habari mkuu, umechaguliwa kufanya kazi ya driver Qatar mshahara $750. Tuma Ksh4,300 ada ya leseni kwa namba 0712998877.",fraud,sw,job_recruitment_scam,batch20_ai,2026-06-23
"Urgent vacancy: Caregiver jobs in Dubai paying $850 monthly. Send Ksh5,700 registration fee to 0789221144 to confirm your slot.",fraud,en,job_recruitment_scam,batch20_ai,2026-06-23
"niaje msee, kazi ya waiter Dubai mshahara $600, tuma Ksh3,900 ada ya visa kwa namba 0701556633 leo kabla deadline",fraud,sheng,job_recruitment_scam,batch20_ai,2026-06-23
"Habari, kampuni ya recruitment inakupa nafasi ya kazi ya cleaner Qatar mshahara $550. Tuma Ksh3,600 ada kwa namba 0745112277.",fraud,sw,job_recruitment_scam,batch20_ai,2026-06-23
"You qualify for a factory worker position in Saudi Arabia earning $700 per month. Send Ksh4,200 processing fee to 0712889933.",fraud,en,job_recruitment_scam,batch20_ai,2026-06-23
"buda kazi ya electrician Dubai inapatikana, mshahara $950, tuma Ksh5,800 ada ya usafiri kwa namba 0734556688 leo",fraud,sheng,job_recruitment_scam,batch20_ai,2026-06-23
"Habari mkuu, umepata kazi ya cook Kuwait mshahara $700. Tuma Ksh4,600 ada ya kusafiri na visa kwa namba 0701776655.",fraud,sw,job_recruitment_scam,batch20_ai,2026-06-23
"International recruitment agency: Plumber jobs available in UAE with $800 monthly salary. Send Ksh5,300 fee to 0745667711 now.",fraud,en,job_recruitment_scam,batch20_ai,2026-06-23
"mzee hii ni job ya warehouse worker Qatar, mshahara $650, tuma Ksh4,100 ada ya documents kwa namba 0789112255 leo",fraud,sheng,job_recruitment_scam,batch20_ai,2026-06-23
"Habari, umechaguliwa kufanya kazi ya farm worker Israel mshahara $900. Tuma Ksh6,000 ada ya visa kwa namba 0712334477.",fraud,sw,job_recruitment_scam,batch20_ai,2026-06-23
