message_text,label,language,fraud_category,source,date_collected
"TGH3K9XQA Confirmed. Ksh10,000.00 from EQUITY BANK account 0112233445 has been credited to your M-PESA on 23/6/26 at 9:50 AM. New balance is Ksh10,920.00.",legit,en,n/a,legit_batch7,2026-06-23
"QML7P2NXA Confirmed. Ksh5,500.00 from KCB BANK account 4567892211 has been credited to your M-PESA on 23/6/26 at 11:10 AM. New balance is Ksh6,090.00.",legit,en,n/a,legit_batch7,2026-06-23
"Imethibitishwa. Ksh3,000.00 kutoka COOPERATIVE BANK akaunti 9981234 imeingizwa kwenye M-PESA yako tarehe 23/6/26 saa 13:45. Salio jipya ni Ksh4,300.00.",legit,sw,n/a,legit_batch7,2026-06-23
"RKT4Q9WQA Confirmed. Ksh2,000.00 from NCBA BANK account 5512897 has been credited to your M-PESA on 23/6/26 at 3:10 PM. New balance is Ksh2,650.00.",legit,en,n/a,legit_batch7,2026-06-23
"NHX8M3LQA Confirmed. Ksh20,000.00 from ABSA BANK account 6612340 has been credited to your M-PESA on 23/6/26 at 9:00 AM. New balance is Ksh21,350.00.",legit,en,n/a,legit_batch7,2026-06-23
"Imethibitishwa. Ksh1,500.00 kutoka FAMILY BANK akaunti 663281 imeingizwa kwenye M-PESA yako tarehe 23/6/26 saa 11:35. Salio jipya ni Ksh2,440.00.",legit,sw,n/a,legit_batch7,2026-06-23
"OPZ5R7XQA Confirmed. Ksh7,500.00 from STANDARD CHARTERED account 3322109 has been credited to your M-PESA on 23/6/26 at 3:35 PM. New balance is Ksh9,250.00.",legit,en,n/a,legit_batch7,2026-06-23
"FGL2K9YQA Confirmed. Ksh800.00 from DTB BANK account 7781123 has been credited to your M-PESA on 23/6/26 at 9:00 AM. New balance is Ksh2,010.00.",legit,en,n/a,legit_batch7,2026-06-23
"Imethibitishwa. Ksh4,200.00 kutoka NCBA BANK akaunti 884521 imeingizwa kwenye M-PESA yako tarehe 23/6/26 saa 13:30. Salio jipya ni Ksh5,780.00.",legit,sw,n/a,legit_batch7,2026-06-23
"DHK4M8NQA Confirmed. Ksh15,000.00 from EQUITY BANK account 0099887 has been credited to your M-PESA on 23/6/26 at 1:15 PM. New balance is Ksh17,940.00.",legit,en,n/a,legit_batch7,2026-06-23
"WLN9P2KQA Confirmed. Ksh600.00 from KCB BANK account 4453321 has been credited to your M-PESA on 23/6/26 at 8:05 AM. New balance is Ksh1,215.00.",legit,en,n/a,legit_batch7,2026-06-23
"Imethibitishwa. Ksh9,000.00 kutoka COOPERATIVE BANK akaunti 663218 imeingizwa kwenye M-PESA yako tarehe 23/6/26 saa 16:40. Salio jipya ni Ksh10,330.00.",legit,sw,n/a,legit_batch7,2026-06-23
"JBM6T1ZQA Confirmed. Ksh1,000.00 from FAMILY BANK account 992184 has been credited to your M-PESA on 23/6/26 at 10:05 AM. New balance is Ksh1,930.00.",legit,en,n/a,legit_batch7,2026-06-23
"YGT3K9MQA Confirmed. Ksh11,500.00 from ABSA BANK account 776123 has been credited to your M-PESA on 23/6/26 at 4:40 PM. New balance is Ksh12,830.00.",legit,en,n/a,legit_batch7,2026-06-23
"Imethibitishwa. Ksh500.00 kutoka KCB BANK akaunti 119283 imeingizwa kwenye M-PESA yako tarehe 23/6/26 saa 10:05. Salio jipya ni Ksh1,430.00.",legit,sw,n/a,legit_batch7,2026-06-23
"VKQ8R4NQA Confirmed. Ksh6,000.00 from NCBA BANK account 887234 has been credited to your M-PESA on 23/6/26 at 11:45 AM. New balance is Ksh7,420.00.",legit,en,n/a,legit_batch7,2026-06-23
"ZWQ7M2PQA Confirmed. Ksh750.00 from STANDARD CHARTERED account 220981 has been credited to your M-PESA on 23/6/26 at 2:30 PM. New balance is Ksh1,365.00.",legit,en,n/a,legit_batch7,2026-06-23
"Imethibitishwa. Ksh3,800.00 kutoka EQUITY BANK akaunti 559012 imeingizwa kwenye M-PESA yako tarehe 23/6/26 saa 17:15. Salio jipya ni Ksh4,520.00.",legit,sw,n/a,legit_batch7,2026-06-23
"AGT5K3PQA Confirmed. Ksh2,500.00 from DTB BANK account 887765 has been credited to your M-PESA on 23/6/26 at 6:35 PM. New balance is Ksh3,640.00.",legit,en,n/a,legit_batch7,2026-06-23
"NHT9P6XQA Confirmed. Ksh18,000.00 from FAMILY BANK account 220031 has been credited to your M-PESA on 23/6/26 at 8:20 AM. New balance is Ksh19,980.00.",legit,en,n/a,legit_batch7,2026-06-23
"Imethibitishwa. Ksh1,300.00 kutoka KCB BANK akaunti 887654 imeingizwa kwenye M-PESA yako tarehe 23/6/26 saa 13:55. Salio jipya ni Ksh4,560.00.",legit,sw,n/a,legit_batch7,2026-06-23
"PLM4Q9TQA Confirmed. Ksh4,800.00 from COOPERATIVE BANK account 220198 has been credited to your M-PESA on 23/6/26 at 10:25 AM. New balance is Ksh6,050.00.",legit,en,n/a,legit_batch7,2026-06-23
"RXTQ4P9QA Confirmed. Ksh400.00 from NCBA BANK account 887123 has been credited to your M-PESA on 23/6/26 at 3:50 PM. New balance is Ksh840.00.",legit,en,n/a,legit_batch7,2026-06-23
"Imethibitishwa. Ksh7,000.00 kutoka ABSA BANK akaunti 112098 imeingizwa kwenye M-PESA yako tarehe 23/6/26 saa 9:15. Salio jipya ni Ksh9,015.00.",legit,sw,n/a,legit_batch7,2026-06-23
