message_text,label,language,fraud_category,source,date_collected
"Safaricom: Your data bundle balance is 1.2GB. It will expire on 30/6/26. Dial *544# to top up or check more options.",legit,en,n/a,legit_batch19,2026-06-23
"Habari, salio lako la data ni 850MB. Litaisha tarehe 30/6/26. Piga *544# kuongeza data au kuangalia chaguo zaidi.",legit,sw,n/a,legit_batch19,2026-06-23
"Safaricom: Your tariff plan has been updated to the new Bonyeza plan. Enjoy lower call rates starting today. Dial *234# for details.",legit,en,n/a,legit_batch19,2026-06-23
"Vodacom: Salio lako la dakika za maongezi ni dakika 45. Zitaisha tarehe 30/6/26. Piga *150*00# kuongeza zaidi.",legit,sw,n/a,legit_batch19,2026-06-23
"Safaricom: Your monthly bundle subscription has renewed successfully. You now have 2GB data and 200 minutes. Valid until 23/7/26.",legit,en,n/a,legit_batch19,2026-06-23
"Habari, kifurushi chako cha kila mwezi kimehuishwa kikamilifu. Una 1.5GB data na dakika 150. Kinafanya kazi mpaka 23/7/26.",legit,sw,n/a,legit_batch19,2026-06-23
"Airtel: Your network has been upgraded to 4G in your area. Enjoy faster browsing speeds. Dial *222# for available bundles.",legit,en,n/a,legit_batch19,2026-06-23
"Safaricom: Your SMS bundle balance is 50 messages. It will expire on 25/6/26. Dial *544# to purchase more SMS bundles.",legit,en,n/a,legit_batch19,2026-06-23
"Habari mteja, salio lako la SMS ni jumbe 30. Litaisha tarehe 25/6/26. Piga *544# kununua jumbe zaidi.",legit,sw,n/a,legit_batch19,2026-06-23
"Telkom: Your network coverage has been expanded in your region. Check available data bundles by dialing *544# for new offers.",legit,en,n/a,legit_batch19,2026-06-23
"Vodacom: Mtandao wako umeboreshwa kwa kasi ya 4G katika eneo lako. Furahia kasi mpya ya intaneti. Piga *150*00# kwa chaguo.",legit,sw,n/a,legit_batch19,2026-06-23
"Safaricom: Your line has been successfully migrated to the new prepaid tariff. Enjoy improved rates on calls and SMS starting now.",legit,en,n/a,legit_batch19,2026-06-23
"Habari, namba yako imehamishwa kwa mfumo mpya wa malipo kabla. Furahia viwango bora vya simu na SMS kuanzia sasa.",legit,sw,n/a,legit_batch19,2026-06-23
"Safaricom: Your data bundle of 5GB purchased today has been activated. It is valid for 30 days from 23/6/26.",legit,en,n/a,legit_batch19,2026-06-23
"Habari mteja, kifurushi chako cha 3GB kilichonunuliwa leo kimeanzishwa. Kinafanya kazi kwa siku 30 kuanzia 23/6/26.",legit,sw,n/a,legit_batch19,2026-06-23
