message_text,label,language,fraud_category,source,date_collected
"TGH3K9XSA Confirmed. Ksh15,000.00 paid to ALLIANCE HIGH SCHOOL for account 88213-JKM on 23/6/26 at 9:20 AM. New M-PESA balance is Ksh3,400.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch14,2026-06-23
"QML7P2NSA Confirmed. Ksh8,500.00 paid to KENYATTA UNIVERSITY for account 778120-REG on 23/6/26 at 10:45 AM. New M-PESA balance is Ksh1,720.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch14,2026-06-23
"Imethibitishwa. Ksh5,000.00 imelipwa kwa STARELITE ACADEMY Acc 22310-WANJ tarehe 23/6/26 saa 11:10. Salio jipya ni Ksh2,300.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch14,2026-06-23
"RKT4Q9WSA Confirmed. Ksh20,000.00 paid to STRATHMORE UNIVERSITY for account 990281-FEE on 23/6/26 at 1:30 PM. New M-PESA balance is Ksh3,650.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch14,2026-06-23
"NHX8M3LSA Confirmed. Ksh3,500.00 paid to ST MARYS PRIMARY for account 119283-OTI on 23/6/26 at 2:55 PM. New M-PESA balance is Ksh1,750.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch14,2026-06-23
"Imethibitishwa. Ksh12,000.00 imelipwa kwa MOUNT KENYA UNIVERSITY Acc 776123-KAR tarehe 23/6/26 saa 8:40. Salio jipya ni Ksh1,210.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch14,2026-06-23
"OPZ5R7XSA Confirmed. Ksh6,800.00 paid to PRECIOUS BLOOD GIRLS for account 663218-NJOK on 23/6/26 at 3:15 PM. New M-PESA balance is Ksh1,750.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch14,2026-06-23
"FGL2K9YSA Confirmed. Ksh2,200.00 paid to LITTLE ANGELS NURSERY for account 220198-MWA on 23/6/26 at 8:35 AM. New M-PESA balance is Ksh1,210.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch14,2026-06-23
"Imethibitishwa. Ksh18,500.00 imelipwa kwa UNIVERSITY OF NAIROBI Acc 110982-REG tarehe 23/6/26 saa 13:20. Salio jipya ni Ksh1,580.00. Gharama, Ksh0.00.",legit,sw,n/a,legit_batch14,2026-06-23
"DHK4M8NSA Confirmed. Ksh4,500.00 paid to MOI GIRLS SCHOOL for account 778012-WAM on 23/6/26 at 1:00 PM. New M-PESA balance is Ksh2,940.00. Transaction cost, Ksh0.00.",legit,en,n/a,legit_batch14,2026-06-23
