message_text,label,language,fraud_category,source,date_collected
"Umetuma pesa kwa namba isiyo sahihi. Piga 0745112233 sasa ili turekebishe kabla mfumo ufunge muamala.",fraud,sw,fake_reversal,batch1_ai,2026-06-22
"Reversal alert: Ksh3,200 sent to wrong recipient. Call 0712889911 within 10 minutes to reverse before system locks the transaction.",fraud,en,fake_reversal,batch1_ai,2026-06-22
"Habari, umetuma Ksh1,800 kwa namba mbaya jana. Tuma jibu 'OK' kwa 0789556677 ili tuanze mchakato wa kurudisha pesa.",fraud,sw,fake_reversal,batch1_ai,2026-06-22
"M-PESA Alert: A wrong transaction of Ksh4,500 was detected on your line. Reply with your PIN to 0701223344 to authorize automatic reversal.",fraud,en,fake_reversal,batch1_ai,2026-06-22
"Naomba turekebishe, ulituma Ksh2,000 kwa namba ya zamani. Piga simu 0733998811 mara moja kabla system iclose.",fraud,sw,fake_reversal,batch1_ai,2026-06-22
"buda umetuma chapaa kwa number mbaya, piga hii line 0712445566 tukurekebishie kabla system ifunge",fraud,sheng,fake_reversal,batch1_ai,2026-06-22
"Tahadhari: Muamala wako wa Ksh6,750 ulitumwa kwa kosa. Tuma PIN yako kwa 0745998822 kuthibitisha urejeshaji wa pesa.",fraud,sw,fake_reversal,batch1_ai,2026-06-22
"Your last transaction of Ksh3,900 went to an unintended number due to network error. Call this line 0700112255 now for manual reversal.",fraud,en,fake_reversal,batch1_ai,2026-06-22
"mse umetuma pesa kwa msee mbaya, piga 0789221199 wakurudishie kabla account yako ifrozen",fraud,sheng,fake_reversal,batch1_ai,2026-06-22
"Imeonekana ulituma Ksh5,300 kwa namba isiyo sahihi tarehe ya leo. Tuma jina lako kamili na PIN kwa 0712667788 kukamilisha reversal.",fraud,sw,fake_reversal,batch1_ai,2026-06-22
"REVERSAL NOTICE: System detected a misdirected payment of Ksh2,450 from your account. Send your M-Pesa PIN to 0701998877 to complete the refund process.",fraud,en,fake_reversal,batch1_ai,2026-06-22
"Pole, kuna shida na muamala wako wa Ksh1,250, ulitumwa kwa namba mbaya. Piga hii namba 0734556699 ili kurekebisha haraka.",fraud,sw,fake_reversal,batch1_ai,2026-06-22
"sasa buda transaction yako ilienda number mbaya, call 0745778822 warudishe doh yako kabla iende mahali pengine",fraud,sheng,fake_reversal,batch1_ai,2026-06-22
"Habari mteja, M-Pesa system imegundua muamala potovu wa Ksh8,000. Tuma maelezo yako kwa 0712334477 kuanzisha urejeshaji.",fraud,sw,fake_reversal,batch1_ai,2026-06-22
"Notice: Ksh1,600 was sent to a wrong number under your account this morning. Reply with your PIN to 0701556633 to reverse the transaction immediately.",fraud,en,fake_reversal,batch1_ai,2026-06-22
"Naona ulituma pesa kwa makosa kwa namba ya client mwingine. Tuma Ksh100 confirmation fee kwa 0789112244 ili turudishe Ksh4,200 yako.",fraud,sw,fake_reversal,batch1_ai,2026-06-22
"buana transaction yako ya Ksh2,900 ilikosea number, piga 0712998866 kabla system ifunge na upoteze doh",fraud,sheng,fake_reversal,batch1_ai,2026-06-22
"Tahadhari kutoka M-Pesa: Pesa yako Ksh3,300 ilitumwa kwa namba isiyo sahihi. Piga *334# au call 0745112277 kuthibitisha urejeshaji wa haraka.",fraud,sw,fake_reversal,batch1_ai,2026-06-22
"Your transaction reference TXN8847 was sent to the wrong recipient. Call 0701887744 within 15 minutes or the funds cannot be recovered.",fraud,en,fake_reversal,batch1_ai,2026-06-22
"mreal umetuma kaproperty kwa number mbaya jana usiku, piga hii 0734221199 wakusort kabla cash ipotee kabisa",fraud,sheng,fake_reversal,batch1_ai,2026-06-22
"Habari, kuna error kwenye muamala wako wa Ksh7,100, ulitumwa kwa namba isiyo sahihi. Tuma PIN yako kwa 0712556688 kuthibitisha umiliki kabla turekebishe.",fraud,sw,fake_reversal,batch1_ai,2026-06-22
"Reversal pending: Ksh990 sent in error to another customer. Send confirmation code received via SMS to 0789998822 to release your refund.",fraud,en,fake_reversal,batch1_ai,2026-06-22
"Pole sana, kuna mtu alituma Ksh1,450 kwa namba yako kwa makosa, tafadhali rudisha kwa 0701445599 mapema iwezekanavyo.",fraud,sw,fake_reversal,batch1_ai,2026-06-22
"bro umetuma chapaa number mbaya tena, call 0745667711 ndio wakusaidie kabla doh ipotee kwa mtu mwingine",fraud,sheng,fake_reversal,batch1_ai,2026-06-22
"M-PESA: Muamala wa Ksh5,800 haukufika mahali sahihi. Tuma maelezo yako binafsi kwa 0712889933 ili kuanzisha urejeshaji wa haraka.",fraud,sw,fake_reversal,batch1_ai,2026-06-22
"Alert: A duplicate transaction of Ksh2,200 was sent from your line in error. Reply YES and your PIN to 0701332244 to cancel and refund.",fraud,en,fake_reversal,batch1_ai,2026-06-22
"Niaje, transaction yako ilikosea kwa number mbaya jana, piga hii namba 0734998877 wakurudishie hiyo Ksh3,600 mapema.",fraud,sheng,fake_reversal,batch1_ai,2026-06-22
"Tahadhari ya haraka: Pesa Ksh6,400 zilitumwa kwa namba mbaya kutoka akaunti yako. Piga 0745223399 kuzungumza na agent wa kurudisha pesa.",fraud,sw,fake_reversal,batch1_ai,2026-06-22
